,site_nums,lat,lon,solar_filenames,wind_filenames,year
0,1,41.00645933,-95.60287081,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\solar\44.18659297052154_-91.18384353741496_psmv3_60_2013.csv,,2013
1,2,43.3,-77.3,,,2013
2,3,42.3,-78.1,,,2013
3,4,41.3,-78.9,,,2013
4,5,43.51363636,-78.41818182,,,2013
5,6,42.53181818,-78.95,,,2013
6,7,40.08636364,-81.70909091,,,2013
7,8,38.15909091,-82.23636364,,,2013
8,9,41.27922078,-82.33376623,,,2013
9,10,40.32077922,-82.52077922,,,2013
10,11,44.36818182,-82.89090909,,,2013
11,12,36.96969697,-84.68787879,,,2013
12,13,36.01818182,-84.77272727,,,2013
13,14,44.79545455,-85.12727273,,,2013
14,15,45.22272727,-87.36363636,,,2013
15,16,44.19132231,-87.35867769,,,2013
16,17,35.20909091,-88.20909091,,,2013
17,18,34.18636364,-88.18181818,,,2013
18,19,41.82727273,-90.46883117,,,2013
19,20,40.81818182,-90.40649351,,,2013
20,21,37.04454545,-91.14909091,,,2013
21,22,40.01889952,-95.48516746,,,2013
22,23,40.87826087,-100.8043478,,,2013
23,24,39.86086957,-100.6478261,,,2013
24,25,33.75652174,-99.70869565,,,2013
