,site_nums,lat,lon,solar_filenames,wind_filenames,year
0,1,45.07363636,-91.76,,,2013
1,2,44.07,-91.68363636,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\solar\44.18659297052154_-91.18384353741496_psmv3_60_2013.csv,,2013
2,3,31.44256198,-98.36198347,,,2013
3,4,27.35661157,-97.75702479,,,2013
4,5,26.33512397,-97.60578512,,,2013
5,6,46.9826087,-101.7434783,,,2013
6,7,45.96521739,-101.5869565,,,2013
7,8,43.93043478,-101.273913,,,2013
8,9,34.77391304,-99.86521739,,,2013
9,10,29.68695652,-99.0826087,,,2013
10,11,28.66956522,-98.92608696,,,2013
11,12,26.63478261,-98.61304348,,,2013
