Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed,Version
NSRDB,18487,-,-,-,21.77,-157.9,-10,0,-10,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,3.1.0
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Pressure,Temperature,Wind Direction,Wind Speed,,,,,,
2018,1,1,0,0,22.1,0,0,0,1024,25,78,5.9,,,,,,
2018,1,1,1,0,22,0,0,0,1023,24.9,77,5.7,,,,,,
2018,1,1,2,0,22,0,0,0,1023,24.8,74,5.6,,,,,,
2018,1,1,3,0,22,0,0,0,1023,24.7,70,5.4,,,,,,
2018,1,1,4,0,21.9,0,0,0,1023,24.7,66,5.3,,,,,,
2018,1,1,5,0,21.9,0,0,0,1023,24.8,63,5.4,,,,,,
2018,1,1,6,0,21.9,49,128,67,1024,25,59,5.6,,,,,,
2018,1,1,7,0,21.8,132,283,235,1024,25.2,58,5.8,,,,,,
2018,1,1,8,0,21.8,77,800,534,1024,25.4,59,5.8,,,,,,
2018,1,1,9,0,21.7,85,864,733,1024,25.7,62,5.8,,,,,,
2018,1,1,10,0,21.7,92,901,890,1024,25.9,64,5.9,,,,,,
2018,1,1,11,0,21.7,106,905,985,1023,26,66,6.1,,,,,,
2018,1,1,12,0,21.6,111,907,1018,1023,26.1,70,6.3,,,,,,
2018,1,1,13,0,21.5,112,896,981,1022,26.2,72,6.3,,,,,,
2018,1,1,14,0,21.4,433,153,568,1022,26.2,80,6.5,,,,,,
2018,1,1,15,0,21.3,204,7,209,1021,26.2,85,6.8,,,,,,
2018,1,1,16,0,21.3,247,142,328,1021,26.1,88,7,,,,,,
2018,1,1,17,0,21.3,140,179,205,1021,25.8,89,6.9,,,,,,
2018,1,1,18,0,21.5,42,339,89,1022,25.6,90,6.7,,,,,,
2018,1,1,19,0,21.6,0,0,0,1022,25.4,90,6.5,,,,,,
2018,1,1,20,0,21.6,0,0,0,1022,25.3,90,6.4,,,,,,
2018,1,1,21,0,21.7,0,0,0,1023,25.2,88,6.3,,,,,,
2018,1,1,22,0,21.6,0,0,0,1023,25.1,85,6.3,,,,,,
2018,1,1,23,0,21.6,0,0,0,1022,25,84,6.4,,,,,,
2018,1,2,0,0,21.4,0,0,0,1022,24.9,84,6.5,,,,,,
2018,1,2,1,0,21.3,0,0,0,1021,24.8,84,6.4,,,,,,
2018,1,2,2,0,21.2,0,0,0,1021,24.7,83,6.3,,,,,,
2018,1,2,3,0,21.1,0,0,0,1021,24.7,81,6.1,,,,,,
2018,1,2,4,0,21.1,0,0,0,1022,24.7,78,6,,,,,,
2018,1,2,5,0,21,0,0,0,1022,24.7,76,6.1,,,,,,
2018,1,2,6,0,21,49,59,57,1022,24.9,76,6.4,,,,,,
2018,1,2,7,0,20.9,141,188,210,1023,25.1,77,6.8,,,,,,
2018,1,2,8,0,20.9,120,0,120,1023,25.3,80,7,,,,,,
2018,1,2,9,0,21,105,818,718,1023,25.5,82,7.1,,,,,,
2018,1,2,10,0,21,369,400,723,1023,25.7,84,7.1,,,,,,
2018,1,2,11,0,20.9,108,894,976,1022,25.9,86,7,,,,,,
2018,1,2,12,0,20.9,111,896,1007,1022,26,87,6.9,,,,,,
2018,1,2,13,0,21,394,32,425,1022,26,87,6.8,,,,,,
2018,1,2,14,0,21,121,844,867,1022,26.1,85,6.5,,,,,,
2018,1,2,15,0,21.1,113,799,710,1022,26,84,6.5,,,,,,
2018,1,2,16,0,21.2,206,408,438,1022,25.9,84,6.5,,,,,,
