Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
WaveWatchIII,0,Hawaii,21.76 N,157.9 W,0,-10,0,-,s,deg,s,deg,s,W/m,s,m,-,0,v1.10
wave height,wave period,Year,Month,Day,Hour,Minute,,,,,,,,,,,,,
1.86,8.54,2018,1,1,0,0,,,,,,,,,,,,,
1.85,8.51,2018,1,1,1,0,,,,,,,,,,,,,
1.84,8.49,2018,1,1,2,0,,,,,,,,,,,,,
1.83,8.49,2018,1,1,3,0,,,,,,,,,,,,,
1.83,8.49,2018,1,1,4,0,,,,,,,,,,,,,
1.82,8.48,2018,1,1,5,0,,,,,,,,,,,,,
1.82,8.48,2018,1,1,6,0,,,,,,,,,,,,,
1.8,8.48,2018,1,1,7,0,,,,,,,,,,,,,
1.77,8.48,2018,1,1,8,0,,,,,,,,,,,,,
1.75,8.47,2018,1,1,9,0,,,,,,,,,,,,,
1.74,8.49,2018,1,1,10,0,,,,,,,,,,,,,
1.73,8.51,2018,1,1,11,0,,,,,,,,,,,,,
1.72,8.52,2018,1,1,12,0,,,,,,,,,,,,,
1.7,8.52,2018,1,1,13,0,,,,,,,,,,,,,
1.68,8.51,2018,1,1,14,0,,,,,,,,,,,,,
1.66,8.5,2018,1,1,15,0,,,,,,,,,,,,,
1.64,8.52,2018,1,1,16,0,,,,,,,,,,,,,
1.63,8.56,2018,1,1,17,0,,,,,,,,,,,,,
1.62,8.59,2018,1,1,18,0,,,,,,,,,,,,,
1.61,8.61,2018,1,1,19,0,,,,,,,,,,,,,
1.6,8.62,2018,1,1,20,0,,,,,,,,,,,,,
1.6,8.63,2018,1,1,21,0,,,,,,,,,,,,,
1.61,8.65,2018,1,1,22,0,,,,,,,,,,,,,
1.64,8.68,2018,1,1,23,0,,,,,,,,,,,,,
1.68,8.69,2018,1,2,0,0,,,,,,,,,,,,,
1.72,8.68,2018,1,2,1,0,,,,,,,,,,,,,
1.77,8.66,2018,1,2,2,0,,,,,,,,,,,,,
1.81,8.64,2018,1,2,3,0,,,,,,,,,,,,,
1.84,8.65,2018,1,2,4,0,,,,,,,,,,,,,
1.87,8.67,2018,1,2,5,0,,,,,,,,,,,,,
1.88,8.69,2018,1,2,6,0,,,,,,,,,,,,,
1.87,8.73,2018,1,2,7,0,,,,,,,,,,,,,
1.86,8.8,2018,1,2,8,0,,,,,,,,,,,,,
1.85,8.85,2018,1,2,9,0,,,,,,,,,,,,,
1.86,8.88,2018,1,2,10,0,,,,,,,,,,,,,
1.87,8.91,2018,1,2,11,0,,,,,,,,,,,,,
1.88,8.93,2018,1,2,12,0,,,,,,,,,,,,,
1.88,8.94,2018,1,2,13,0,,,,,,,,,,,,,
1.88,8.94,2018,1,2,14,0,,,,,,,,,,,,,
1.88,8.94,2018,1,2,15,0,,,,,,,,,,,,,
1.88,8.94,2018,1,2,16,0,,,,,,,,,,,,,
1.89,8.92,2018,1,2,17,0,,,,,,,,,,,,,
1.89,8.9,2018,1,2,18,0,,,,,,,,,,,,,
1.89,8.87,2018,1,2,19,0,,,,,,,,,,,,,
1.87,8.85,2018,1,2,20,0,,,,,,,,,,,,,
1.86,8.82,2018,1,2,21,0,,,,,,,,,,,,,
1.84,8.78,2018,1,2,22,0,,,,,,,,,,,,,
1.82,8.74,2018,1,2,23,0,,,,,,,,,,,,,
1.79,8.7,2018,1,3,0,0,,,,,,,,,,,,,
1.76,8.68,2018,1,3,1,0,,,,,,,,,,,,,
1.72,8.65,2018,1,3,2,0,,,,,,,,,,,,,
1.69,8.63,2018,1,3,3,0,,,,,,,,,,,,,
1.67,8.6,2018,1,3,4,0,,,,,,,,,,,,,
1.65,8.58,2018,1,3,5,0,,,,,,,,,,,,,
1.63,8.56,2018,1,3,6,0,,,,,,,,,,,,,
1.61,8.54,2018,1,3,7,0,,,,,,,,,,,,,
1.59,8.52,2018,1,3,8,0,,,,,,,,,,,,,
1.58,8.51,2018,1,3,9,0,,,,,,,,,,,,,
1.58,8.49,2018,1,3,10,0,,,,,,,,,,,,,
1.58,8.48,2018,1,3,11,0,,,,,,,,,,,,,
1.58,8.47,2018,1,3,12,0,,,,,,,,,,,,,
1.59,8.45,2018,1,3,13,0,,,,,,,,,,,,,
1.59,8.43,2018,1,3,14,0,,,,,,,,,,,,,
1.6,8.41,2018,1,3,15,0,,,,,,,,,,,,,
1.61,8.38,2018,1,3,16,0,,,,,,,,,,,,,
1.62,8.35,2018,1,3,17,0,,,,,,,,,,,,,
1.63,8.32,2018,1,3,18,0,,,,,,,,,,,,,
1.65,8.28,2018,1,3,19,0,,,,,,,,,,,,,
1.68,8.23,2018,1,3,20,0,,,,,,,,,,,,,
1.71,8.17,2018,1,3,21,0,,,,,,,,,,,,,
1.73,8.07,2018,1,3,22,0,,,,,,,,,,,,,
1.76,7.94,2018,1,3,23,0,,,,,,,,,,,,,
1.79,7.86,2018,1,4,0,0,,,,,,,,,,,,,
1.81,7.83,2018,1,4,1,0,,,,,,,,,,,,,
1.84,7.81,2018,1,4,2,0,,,,,,,,,,,,,
1.87,7.79,2018,1,4,3,0,,,,,,,,,,,,,
1.92,7.77,2018,1,4,4,0,,,,,,,,,,,,,
1.97,7.75,2018,1,4,5,0,,,,,,,,,,,,,
2,7.73,2018,1,4,6,0,,,,,,,,,,,,,
2.02,7.76,2018,1,4,7,0,,,,,,,,,,,,,
2.04,7.79,2018,1,4,8,0,,,,,,,,,,,,,
2.05,7.81,2018,1,4,9,0,,,,,,,,,,,,,
2.04,7.81,2018,1,4,10,0,,,,,,,,,,,,,
2.02,7.8,2018,1,4,11,0,,,,,,,,,,,,,
2,7.79,2018,1,4,12,0,,,,,,,,,,,,,
1.97,7.79,2018,1,4,13,0,,,,,,,,,,,,,
1.93,7.78,2018,1,4,14,0,,,,,,,,,,,,,
1.89,7.78,2018,1,4,15,0,,,,,,,,,,,,,
1.87,7.77,2018,1,4,16,0,,,,,,,,,,,,,
1.85,7.76,2018,1,4,17,0,,,,,,,,,,,,,
1.84,7.74,2018,1,4,18,0,,,,,,,,,,,,,
1.86,7.72,2018,1,4,19,0,,,,,,,,,,,,,
1.9,7.7,2018,1,4,20,0,,,,,,,,,,,,,
1.92,7.67,2018,1,4,21,0,,,,,,,,,,,,,
1.94,7.64,2018,1,4,22,0,,,,,,,,,,,,,
1.95,7.62,2018,1,4,23,0,,,,,,,,,,,,,
1.96,7.6,2018,1,5,0,0,,,,,,,,,,,,,
1.95,7.61,2018,1,5,1,0,,,,,,,,,,,,,
1.92,7.62,2018,1,5,2,0,,,,,,,,,,,,,
1.9,7.63,2018,1,5,3,0,,,,,,,,,,,,,
1.91,7.62,2018,1,5,4,0,,,,,,,,,,,,,
1.92,7.59,2018,1,5,5,0,,,,,,,,,,,,,
1.93,7.57,2018,1,5,6,0,,,,,,,,,,,,,
1.95,7.56,2018,1,5,7,0,,,,,,,,,,,,,
1.97,7.55,2018,1,5,8,0,,,,,,,,,,,,,
1.98,7.54,2018,1,5,9,0,,,,,,,,,,,,,
2,7.54,2018,1,5,10,0,,,,,,,,,,,,,
2.02,7.54,2018,1,5,11,0,,,,,,,,,,,,,
2.03,7.55,2018,1,5,12,0,,,,,,,,,,,,,
2.01,7.57,2018,1,5,13,0,,,,,,,,,,,,,
1.99,7.6,2018,1,5,14,0,,,,,,,,,,,,,
1.97,7.63,2018,1,5,15,0,,,,,,,,,,,,,
1.96,7.64,2018,1,5,16,0,,,,,,,,,,,,,
1.96,7.64,2018,1,5,17,0,,,,,,,,,,,,,
1.95,7.65,2018,1,5,18,0,,,,,,,,,,,,,
1.93,7.65,2018,1,5,19,0,,,,,,,,,,,,,
1.91,7.65,2018,1,5,20,0,,,,,,,,,,,,,
1.89,7.65,2018,1,5,21,0,,,,,,,,,,,,,
1.87,7.65,2018,1,5,22,0,,,,,,,,,,,,,
