Project,Scenario,Dollar_year,Weather_year,Start_day,country
Cambium_2022,HighNGPrice,2021$,2012,Sunday,usa
Metric definitions and scenario descriptions: 2022 Cambium Documentation (https://www.nrel.gov/docs/fy23osti/84916.pdf)
Geography,Time,Load,Load,Load,Load,Load,Load,Load,Transmission,Transmission,Operational,Operational,Operational,Operational,Operational,Clean Energy Fraction,Clean Energy Fraction,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Energy Capacity,Energy Capacity,Energy Capacity,Policy,Policy,Policy,Policy,Policy
unitless,unitless,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,MW/MW,$/MW,MW,fraction,fraction,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MWh,MWh,MWh,$/credit,credit/sales,$/credit,credit/sales,$/ton
state,t,busbar_load_for_enduse,battery_charging,phs_charging,trans_losses,busbar_load,enduse_load,net_load_busbar,imports,exports,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,cef_gen,cef_load,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_ccs,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,battery_MWh,biomass_MWh,beccs_MWh,canada_MWh,coal_MWh,coal-ccs_MWh,csp_MWh,distpv_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,geothermal_MWh,hydro_MWh,nuclear_MWh,o-g-s_MWh,phs_MWh,re-ct_MWh,upv_MWh,wind-ons_MWh,wind-ofs_MWh,battery_MW,biomass_MW,beccs_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,re-ct_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,rps_shadow_price,rps_f,ces_shadow_price,ces_f,co2_shadow_price
AL,2024,98365120.0,314726.1,0.0,509141.5,99188984.3,94828094.1,95412627.1,10988717.0,41197030.0,0.0359,0.054,0.15,6817.17,20967.4,0.45,0.46,396.3,35.5,5.07,24.4,1192.3,0.26,398.7,60.0,458.7,405.6,36.6,5.24,24.8,1211.8,0.27,408.1,61.0,469.1,314.6,18.6,2.58,25.9,1222.5,0.16,315.9,62.4,378.3,790.3,67.3,9.67,46.9,2394.5,0.43,794.9,118.4,913.3,51031314.9,4575.0,653.9,3136376.7,153426.9,33.3,51346157.9,7717589.1,59063747.0,0.0,35.24,1.38,0.0,36.62,37.32,1.49,0.0,38.81,129694060.0,3776357.2,284803.2,29293.4,0.0,0.0,36635510.0,0.0,0.0,94340.6,34965150.0,0.0,52641.6,0.0,9706006.0,44244296.0,0.0,0.0,0.0,3682016.5,0.0,0.0,78.8,6.4,0.0,5790.7,0.0,0.0,63.3,11043.4,0.0,555.0,0.0,3334.0,5544.5,0.0,0.0,0.0,1630.1,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2026,100522560.0,2253713.5,0.0,809849.8,103586122.7,96907976.3,93879214.9,31810874.0,55758092.0,0.0359,0.054,0.15,60702.15,21446.6,0.51,0.56,367.1,34.5,4.96,21.3,1052.7,0.25,369.5,52.8,422.3,350.2,33.0,4.74,20.2,1001.2,0.23,352.5,50.1,402.6,259.2,16.7,2.33,20.0,971.0,0.13,260.4,49.0,309.4,744.1,64.4,9.23,43.2,2252.7,0.4,748.6,110.5,859.0,46566619.9,4386.6,629.4,2701208.7,133375.9,31.2,46869157.0,6684338.4,53553495.4,0.0,33.26,11.74,0.0,45.0,35.45,12.93,0.0,48.38,127812160.0,9706908.0,1934904.8,29196.5,0.0,0.0,35596400.0,0.0,0.0,232833.6,26462514.0,0.0,34281.6,0.0,10069122.0,43978836.0,0.0,0.0,0.0,9474074.0,0.0,0.0,904.7,6.4,0.0,5790.7,0.0,0.0,155.5,11043.4,0.0,555.0,0.0,3449.0,5544.5,0.0,0.0,0.0,4166.2,0.0,0.0,5975.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2028,103272024.0,2798556.0,0.0,1193913.9,107264496.8,99558616.3,95468599.3,56132620.0,64789492.0,0.0359,0.054,0.15,41359.66,22072.2,0.58,0.64,346.3,34.7,5.01,18.6,926.1,0.24,348.7,46.2,394.9,304.2,30.6,4.41,16.3,811.9,0.21,306.3,40.5,346.9,201.4,14.9,2.1,13.8,700.5,0.1,202.4,34.7,237.1,686.3,61.8,8.87,37.8,2015.0,0.37,690.5,98.0,788.5,39880759.5,4004.9,577.3,2133564.6,106484.8,27.9,40157708.9,5314439.8,45472148.7,0.0,29.5,7.85,0.0,37.35,31.62,8.7,0.0,40.32,116134610.0,11795897.0,2407418.2,27280.4,0.0,0.0,33059994.0,0.0,0.0,569039.2,16185538.0,0.0,17323.7,0.0,9765100.0,42876050.0,0.0,0.0,0.0,11226858.0,0.0,0.0,1119.4,6.4,0.0,5790.7,0.0,0.0,379.3,11043.4,0.0,555.0,0.0,3462.0,5544.5,0.0,0.0,0.0,4969.3,0.0,0.0,7140.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2030,106542120.0,3343786.0,0.0,1154564.9,111040468.8,102711178.2,97144190.7,60223916.0,58588520.0,0.0359,0.054,0.15,56618.49,22748.0,0.62,0.69,333.7,35.5,5.14,16.3,829.1,0.24,336.2,41.1,377.3,284.1,30.1,4.36,14.0,709.1,0.21,286.2,35.2,321.4,317.2,29.6,4.24,16.2,910.0,0.16,319.2,43.3,362.5,694.2,66.4,9.57,34.6,1918.2,0.37,698.8,91.9,790.6,36247358.4,3859.8,558.6,1767424.4,89893.9,26.2,36514888.9,4453406.9,40968295.8,0.0,28.4,10.55,0.0,38.95,30.54,11.76,0.0,42.3,109539520.0,13896278.0,2883152.5,25574.9,0.0,0.0,32260134.0,0.0,0.0,1172418.4,8842503.0,0.0,27320.5,0.0,9454139.0,42150416.0,0.0,0.0,0.0,12723860.0,0.0,0.0,1321.4,6.4,0.0,5790.7,0.0,0.0,782.3,11003.4,0.0,555.0,0.0,3471.0,5544.5,0.0,0.0,0.0,5659.7,0.0,0.0,8269.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2035,115368856.0,5123082.0,0.0,1186012.1,121677955.7,111220710.0,101991480.4,68826470.0,55822360.0,0.0359,0.054,0.15,81018.64,25121.7,0.69,0.75,298.1,33.0,4.8,13.7,699.0,0.22,300.4,34.6,335.0,243.0,26.8,3.88,11.4,575.1,0.18,244.9,28.6,273.5,410.5,38.7,5.55,20.6,1166.8,0.2,413.2,55.4,468.7,655.3,64.2,9.26,31.4,1768.8,0.35,659.7,84.2,743.9,32125179.5,3564.7,517.3,1472526.4,75208.3,24.1,32372634.3,3720318.4,36092952.6,0.0,26.82,14.85,0.0,41.68,29.06,16.74,0.0,45.79,108691944.0,19686476.0,4390692.5,24177.1,0.0,0.0,29971750.0,0.0,0.0,2138685.0,3829551.2,0.0,25508.5,0.0,9192143.0,41571644.0,0.0,0.0,0.0,17547790.0,0.0,0.0,1954.3,6.4,0.0,5790.7,0.0,0.0,1445.5,11003.4,0.0,555.0,0.0,3471.0,5544.5,0.0,0.0,0.0,7819.3,0.0,0.0,12882.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2040,125247080.0,9738394.0,0.0,1283513.7,136268981.5,120743901.3,104555757.4,76525784.0,60449428.0,0.0359,0.054,0.15,98023.13,28164.6,0.75,0.8,244.6,27.3,3.96,11.3,569.4,0.19,246.5,28.3,274.8,200.7,22.3,3.23,9.5,470.5,0.16,202.2,23.5,225.8,475.1,43.8,6.28,24.7,1381.0,0.23,478.1,65.9,544.1,593.1,57.7,8.31,28.9,1617.8,0.31,597.1,77.2,674.3,29101270.5,3249.0,471.7,1343386.0,67569.6,22.5,29326859.8,3363101.2,32689961.0,0.0,25.26,17.6,0.0,42.85,28.0,20.43,0.0,48.43,120241110.0,31713222.0,8260985.0,22368.0,0.0,0.0,27388940.0,0.0,0.0,2505912.8,3044634.0,0.0,30354.7,0.0,8947513.0,40833092.0,0.0,0.0,0.0,29207312.0,0.0,0.0,3590.8,6.4,0.0,5790.7,0.0,0.0,1782.3,11003.4,0.0,555.0,0.0,3471.0,5544.5,0.0,0.0,0.0,13127.3,0.0,0.0,24713.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2045,133963030.0,9501222.0,0.0,1326148.4,144790398.9,129146565.8,109637268.0,81813810.0,58621012.0,0.0359,0.054,0.15,99339.21,30506.3,0.76,0.82,219.9,23.9,3.46,11.0,532.1,0.17,221.5,26.9,248.4,174.2,18.9,2.74,8.8,422.5,0.14,175.5,21.4,197.0,387.4,33.2,4.73,22.5,1206.6,0.19,389.7,58.5,448.2,504.7,46.4,6.65,27.4,1466.0,0.27,507.9,71.2,579.1,26428549.7,2880.0,417.5,1312907.9,63671.1,21.0,26628341.1,3216052.0,29844393.1,0.0,25.17,18.09,0.0,43.26,27.82,20.88,0.0,48.7,121690770.0,35153132.0,8141425.5,21478.5,0.0,0.0,24341072.0,0.0,0.0,2999325.5,4788290.0,0.0,9531.2,0.0,8817867.0,40417972.0,0.0,0.0,0.0,32132452.0,21352.6,0.0,3765.4,6.4,0.0,5372.6,0.0,0.0,2185.6,11003.4,0.0,555.0,0.0,3471.0,5544.5,0.0,0.0,0.0,14816.1,0.0,7.0,23789.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2050,142183200.0,12647770.0,0.0,1371484.1,156202451.5,137071195.8,113182525.7,85679400.0,57021896.0,0.0359,0.054,0.15,102956.77,32533.6,0.8,0.85,151.3,14.4,2.07,10.1,430.9,0.14,152.3,23.0,175.2,123.3,12.0,1.73,8.0,343.4,0.11,124.1,18.3,142.4,352.1,28.3,4.01,22.2,1156.4,0.17,354.1,56.7,410.8,391.4,29.4,4.14,27.3,1346.6,0.21,393.4,67.5,461.0,19011028.9,1823.4,262.0,1261773.2,53892.4,17.1,19136881.4,2872435.0,22009316.4,0.0,26.46,18.55,0.0,45.01,29.68,21.79,0.0,51.47,127635650.0,43019924.0,10857907.0,20074.0,0.0,0.0,15119074.0,0.0,0.0,3327826.8,10308327.0,0.0,11068.8,0.0,8584138.0,39715132.0,0.0,0.0,0.0,37816736.0,1875362.6,0.0,4899.0,6.4,0.0,3727.6,0.0,0.0,2540.3,11003.4,0.0,822.6,0.0,3471.0,5544.5,0.0,0.0,0.0,17663.2,0.0,624.7,31570.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
