Project,Scenario,Dollar_year
Standard_scenarios_2020,MidCase,2019$
state,country,t,busbar_load,busbar_load_for_enduse,enduse_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,curt_solar,curt_wind,co2_rate_avg_gen,co2_rate_avg_load_enduse,co2_srmer_enduse,co2_lrmer_enduse,co2_gen_mmt,energy_cost_busbar,op_res_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,op_res_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh,battery_MW,biomass_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,upv_MW,wind-ofs_MW,wind-ons_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,rps_all_shadow_price,rps_all_f,rps_solar_shadow_price,rps_solar_f,rps_wind_shadow_price,rps_wind_f,ces_shadow_price,ces_f
AL,usa,2018,89242760.4,88122584.6,83716455.5,124595.5,87681376.9,124595.5,0.0,995580.3,0.05,0.0749,0.15,28037.56,19872.3,0.0,0.0,399.1,441.0,712.6,458.7,60.3,34.29,0.05,6.11,0.0,40.47,37.15,0.06,6.85,0.0,44.07,151217207.6,441207.8,43135472.0,32017211.0,0.0,403375.1,66781470.3,0.0,206851.5,8202960.7,0.0,28659.2,0.0,0.0,0.0,412880.2,28327.7,0.0,0.0,0.0,73.3,6.4,6338.7,0.0,0.0,18.4,9651.4,0.0,2618.2,0.0,3042.6,5370.4,1667.3,0.0,194.1,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,usa,2018,58410117.7,57545926.5,54668630.3,41290.9,57308538.6,0.0,41290.9,822900.2,0.05,0.0749,0.1459,28036.67,12988.6,0.0,0.0,448.8,492.6,745.8,478.0,27.2,34.53,0.07,6.14,0.0,40.75,37.43,0.08,6.9,0.0,44.4,60484609.1,237388.0,14298814.8,16445969.0,0.0,163054.5,26045264.4,0.0,94798.3,3068570.3,0.0,98141.6,0.0,0.0,0.0,220337.0,17051.0,32608.4,0.0,0.0,0.0,16.8,5105.3,0.0,0.0,10.7,4603.4,0.0,712.2,0.0,1354.9,1817.8,785.2,28.0,100.0,0.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ,usa,2018,83832045.4,82721457.2,78585384.3,129554.4,74034682.5,32029.4,97525.0,981033.8,0.0499,0.0748,0.135,36143.81,20494.9,0.0,0.0,393.9,424.5,565.8,252.7,36.1,33.56,0.03,8.31,0.0,41.9,36.33,0.04,9.33,0.0,45.71,91668814.0,8686774.6,30577358.9,26378933.6,0.0,5475.5,18934709.8,0.0,48013.4,6751911.6,0.0,189250.8,800219.5,0.0,922958.2,4544798.0,2418799.1,69039.5,27346.4,0.0,64.0,28.2,4079.0,0.0,304.9,1292.9,9857.1,0.0,2357.6,0.0,2170.5,3937.0,1313.0,216.3,1762.7,0.0,267.3,128.0,2595.6,2954.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
CA,usa,2018,287184974.6,282951795.3,268804205.4,2539959.7,227531858.1,281907.1,2258052.6,1693219.7,0.05,0.0749,0.1461,37666.44,65178.7,0.0,0.0,189.8,238.7,581.3,191.4,44.7,34.68,0.01,7.72,0.0,42.4,37.55,0.01,8.66,0.0,46.22,237724370.0,55419937.1,16952320.0,0.0,0.0,68853.1,110281550.8,0.0,772193.1,31625185.3,15218119.0,5493060.6,9086627.4,0.0,2880544.1,28150434.1,15302331.5,1650095.8,243055.2,0.0,228.3,855.6,0.0,0.0,1372.0,8856.2,19005.0,0.0,10798.2,2041.0,10214.1,2240.0,6263.9,3911.9,10588.4,0.0,5629.5,913.2,46942.8,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0
CO,usa,2018,60544944.3,60027683.2,57026299.0,300057.1,45443671.9,7130.5,292926.6,217204.1,0.05,0.075,0.125,32534.91,11944.1,0.0,0.0,600.2,686.4,702.3,278.0,31.2,30.67,0.01,5.71,0.0,36.39,33.2,0.02,6.31,0.0,39.53,52305185.8,14584011.4,0.0,26644809.0,0.0,2559.6,9024022.5,0.0,6733.8,1694428.8,0.0,129174.4,12377604.0,0.0,62101.8,1239067.7,905237.9,213293.8,6152.5,0.0,10.0,17.6,4437.0,0.0,30.0,517.3,3293.6,0.0,2793.1,0.0,669.1,0.0,469.4,562.5,507.1,0.0,3710.6,20.0,6750.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
CT,usa,2018,32677346.1,32510108.9,30884603.4,60089.4,31677754.5,0.0,60089.4,107147.8,0.05,0.0749,0.15,20431.55,8409.4,0.0,0.0,183.1,202.6,582.6,223.8,6.6,40.79,0.08,4.85,0.0,45.71,44.18,0.08,5.46,0.0,49.73,36086753.5,832354.4,16307004.6,0.0,0.0,8476.7,17194416.0,0.0,49148.0,476321.0,0.0,1169712.0,3301.5,0.0,0.0,166260.8,662792.1,49320.9,0.0,0.0,0.0,223.5,383.4,0.0,0.0,468.7,3408.6,0.0,1099.0,0.0,123.7,2073.1,2057.9,29.4,85.9,0.0,1.0,0.0,352.8,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0
DE,usa,2018,12149019.4,12107163.2,11501805.0,0.0,11914669.8,0.0,0.0,41856.2,0.05,0.0749,0.15,29458.66,3263.1,0.0,0.0,428.7,414.9,783.3,296.3,2.4,35.79,0.07,7.46,0.0,43.31,38.78,0.07,8.44,0.0,47.29,5543655.2,192493.4,0.0,198089.7,0.0,3065.7,5106792.3,0.0,13737.1,0.0,0.0,29477.0,0.0,0.0,0.0,66780.3,125713.2,0.0,0.0,0.0,0.0,7.0,410.0,0.0,0.0,84.0,1511.0,0.0,187.2,0.0,0.0,0.0,807.1,0.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.01,0.0,0.0,0.0,0.0
FL,usa,2018,241995534.9,240907135.0,228861778.2,17653.6,237444066.0,17653.6,0.0,1070746.4,0.05,0.0749,0.15,30325.07,54580.9,0.0,0.0,393.5,423.2,648.6,279.5,89.2,37.09,0.12,6.71,0.0,43.91,40.18,0.13,7.49,0.0,47.8,226438205.6,3463069.1,28763245.0,21397795.6,0.0,636204.1,166322286.3,0.0,1282272.0,199644.8,0.0,4358426.4,0.0,0.0,0.0,2964585.2,498483.9,0.0,15262.3,0.0,28.0,813.3,7863.0,0.0,0.0,314.9,29253.4,0.0,7519.3,0.0,54.5,3626.0,5473.3,0.0,1369.2,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GA,usa,2018,151039091.0,146657595.6,139324715.8,3462227.7,144380884.2,0.0,3462227.7,919267.7,0.05,0.0749,0.15,29363.85,33397.1,0.0,0.0,399.0,414.9,721.8,224.7,46.7,36.24,0.06,6.39,0.0,42.69,39.39,0.06,7.32,0.0,46.77,119920066.5,2276711.4,32701887.4,25488139.3,0.0,44290.3,52086372.0,0.0,47724.4,3386519.4,0.0,1130632.6,0.0,0.0,0.0,2210886.3,65825.1,2757789.6,0.0,0.0,0.0,172.7,9398.5,0.0,0.0,42.6,7989.0,0.0,7713.1,0.0,2275.4,4061.0,1546.0,1862.2,1015.0,0.0,0.0,0.0,22346.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IA,usa,2018,50179153.8,49749142.2,47261685.1,0.0,22415840.0,0.0,0.0,430011.6,0.05,0.0749,0.15,9403.7,11437.3,0.0,0.0,478.4,525.2,804.0,254.9,33.8,32.12,0.17,2.05,0.0,34.34,34.8,0.19,2.3,0.0,37.29,70619645.1,27333302.2,4730612.4,29413556.7,0.0,78142.7,7878970.9,0.0,27333.8,1106934.5,0.0,50792.0,27197932.8,0.0,0.0,19837.2,115532.3,0.0,0.0,0.0,0.0,11.2,4882.8,0.0,0.0,74.7,1731.8,0.0,947.2,0.0,181.4,601.4,1002.6,0.0,8.9,0.0,8255.6,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
