Project,Scenario,Dollar_year,Weather_year,Start_day,country
Standard_scenarios_2021,MidCase,2020$,2012,Sunday,usa
Geography,Time,Load,Load,Load,Load,Load,Load,Load,Load,Load,Operational,Operational,Operational,Operational,Operational,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Emissions,Busbar costs,Busbar costs,Busbar costs,Busbar costs,End use cost,End use cost,End use cost,End use cost,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Generation,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Capacity,Energy Capacity,Energy Capacity,Energy Capacity,Policy,Policy,Policy,Policy,Policy
unitless,unitless,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh/MWh,MWh/MWh,MW/MW,$/MW,MW,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,g/MWh,g/MWh,kg/MWh,kg/MWh,kg/MWh,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,metric tons,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,$/MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MWh,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MWh,MWh,MWh,$/credit,credit/sales,$/credit,credit/sales,$/ton
state,t,busbar_load,busbar_load_for_enduse,enduse_load,dac_load,storage_charging,net_load_busbar,battery_charging,phs_charging,trans_losses,distloss_rate_avg,distloss_rate_marg,prm,capacity_shadow_price,planning_capacity_MW,aer_gen_co2_c,aer_gen_ch4_c,aer_gen_n2o_c,aer_gen_co2_p,aer_gen_ch4_p,aer_gen_n2o_p,aer_gen_co2e_c,aer_gen_co2e_p,aer_gen_co2e,aer_load_co2_c,aer_load_ch4_c,aer_load_n2o_c,aer_load_co2_p,aer_load_ch4_p,aer_load_n2o_p,aer_load_co2e_c,aer_load_co2e_p,aer_load_co2e,lrmer_co2_c,lrmer_ch4_c,lrmer_n2o_c,lrmer_co2_p,lrmer_ch4_p,lrmer_n2o_p,lrmer_co2e_c,lrmer_co2e_p,lrmer_co2e,srmer_co2_c,srmer_ch4_c,srmer_n2o_c,srmer_co2_p,srmer_ch4_p,srmer_n2o_p,srmer_co2e_c,srmer_co2e_p,srmer_co2e,total_gen_co2_c,total_gen_ch4_c,total_gen_n2o_c,total_gen_co2_p,total_gen_ch4_p,total_gen_n2o_p,total_gen_co2e_c,total_gen_co2e_p,total_gen_co2e,co2_captured_dac,co2_captured_ccs,total_net_co2_c,total_net_co2,total_net_co2e,energy_cost_busbar,capacity_cost_busbar,portfolio_cost_busbar,total_cost_busbar,energy_cost_enduse,capacity_cost_enduse,portfolio_cost_enduse,total_cost_enduse,generation,variable_generation,nuclear_MWh,coal_MWh,coal-ccs_MWh,o-g-s_MWh,gas-cc_MWh,gas-cc-ccs_MWh,gas-ct_MWh,hydro_MWh,geothermal_MWh,biomass_MWh,beccs_MWh,wind-ons_MWh,wind-ofs_MWh,csp_MWh,upv_MWh,distpv_MWh,phs_MWh,battery_MWh,canada_MWh,battery_MW,beccs_MW,biomass_MW,coal_MW,coal-ccs_MW,csp_MW,distpv_MW,gas-cc_MW,gas-cc-ccs_MW,gas-ct_MW,geothermal_MW,hydro_MW,nuclear_MW,o-g-s_MW,phs_MW,upv_MW,wind-ofs_MW,wind-ons_MW,dac_MW,battery_energy_cap_MWh,phs_energy_cap_MWh,csp_energy_cap_MWh,rps_shadow_price,rps_f,ces_shadow_price,ces_f,co2_shadow_price
AL,2022,89055823.0,88251657.7,85078531.5,0.0,89827.9,86869155.3,89827.9,0.0,714337.4,0.0359,0.054,0.15,30007.08,19938.0,382.2,31.3,4.45,26.4,1238.4,0.26,384.2,61.2,445.4,402.5,34.2,4.88,26.8,1262.3,0.27,404.8,62.2,466.9,599.9,43.2,6.15,43.0,2043.7,0.34,602.8,100.3,703.1,749.1,58.7,8.45,49.8,2371.6,0.45,753.0,116.3,869.3,47361837.6,3883.7,551.6,3273492.0,153362.5,31.7,47616750.3,7576040.5,55192790.8,0.0,0.0,47361837.6,50635329.6,55192790.8,35.83,6.44,0.0,42.28,37.96,6.98,0.0,44.94,124781390.0,1382502.4,44133400.0,29954972.0,0.0,242483.2,40622708.0,0.0,127811.8,8207192.0,0.0,29293.4,0.0,0.0,0.0,0.0,1340987.8,41514.6,0.0,81015.7,0.0,78.8,0.0,6.4,4449.8,0.0,0.0,28.0,9702.9,0.0,1963.2,0.0,3043.0,5525.4,1738.0,0.0,601.1,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2024,92204132.0,91236429.2,87955984.3,0.0,116374.3,89846585.1,116374.3,0.0,851328.5,0.0359,0.054,0.15,30007.08,20612.6,365.3,25.6,3.58,29.1,1316.6,0.24,366.9,66.0,433.0,385.6,28.4,4.01,29.6,1339.8,0.26,387.5,67.2,454.7,568.4,39.3,5.56,42.1,1996.9,0.32,571.0,98.1,669.2,754.2,57.5,8.31,52.1,2396.4,0.48,758.0,119.3,877.4,49891980.1,3495.8,489.8,3974879.6,179800.2,32.9,50119653.2,9018009.8,59137662.9,0.0,0.0,49891980.1,53866859.8,59137662.9,32.86,6.43,0.0,39.29,34.81,6.98,0.0,41.79,137473890.0,1389844.0,44133400.0,25649084.0,0.0,491692.0,57134324.0,0.0,334118.0,8205433.5,0.0,29293.4,0.0,0.0,0.0,0.0,1322279.5,67564.5,0.0,106691.9,0.0,78.8,0.0,6.4,4449.8,0.0,0.0,45.5,9702.9,0.0,1963.2,0.0,3043.0,5525.4,1578.0,0.0,601.1,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2026,94145345.1,93140177.7,89791282.7,0.0,117169.9,91701345.4,117169.9,0.0,887997.5,0.0359,0.054,0.15,38843.8,21043.4,370.1,26.7,3.75,28.8,1309.3,0.24,371.8,65.5,437.4,389.7,29.5,4.17,29.2,1329.1,0.26,391.7,66.5,458.1,468.8,29.9,4.17,36.8,1748.9,0.24,470.7,85.8,556.6,755.2,57.9,8.31,51.4,2432.5,0.45,759.0,119.6,878.7,50277118.9,3626.9,509.7,3908938.9,177830.8,33.2,50513739.6,8897003.9,59410743.5,0.0,0.0,50277118.9,54186057.8,59410743.5,33.24,8.31,0.0,41.56,35.22,9.04,0.0,44.26,136753120.0,1438832.2,44133400.0,26819800.0,0.0,519348.9,54887372.0,0.0,341227.0,8477092.0,0.0,29293.4,0.0,0.0,0.0,0.0,1303832.4,134999.9,0.0,106748.2,0.0,78.8,0.0,6.4,4449.8,0.0,0.0,90.5,9702.9,0.0,1963.2,0.0,3128.0,5525.4,1578.0,0.0,601.1,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2028,94978292.1,94068135.4,90685875.3,0.0,114691.3,92506102.4,114691.3,0.0,795465.4,0.0359,0.054,0.15,45005.36,21253.6,378.1,28.8,4.06,28.0,1291.0,0.25,380.0,64.3,444.2,396.7,31.5,4.46,28.4,1310.1,0.27,398.8,65.1,463.9,397.7,24.4,3.4,32.2,1504.9,0.21,399.3,74.4,473.7,753.2,58.4,8.37,50.3,2427.4,0.43,757.1,118.4,875.5,50186496.1,3819.1,539.4,3721524.3,171292.1,33.2,50436360.1,8526512.3,58962872.4,0.0,0.0,50186496.1,53908020.3,58962872.4,34.32,9.65,0.0,43.97,36.36,10.47,0.0,46.83,133633140.0,1562033.1,44133400.0,28729004.0,0.0,488665.8,49754564.0,0.0,362158.5,8468818.0,0.0,29293.4,0.0,0.0,0.0,0.0,1294158.8,267874.4,0.0,105201.1,0.0,78.8,0.0,6.4,4449.8,0.0,0.0,179.3,9702.9,0.0,1963.2,0.0,3128.0,5525.4,1578.0,0.0,604.7,0.0,0.0,0.0,1320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2030,96285977.4,95024793.0,91608135.9,0.0,291563.0,82466363.4,291563.0,0.0,969621.4,0.0359,0.054,0.15,53469.57,21468.6,343.0,26.9,3.81,24.8,1147.9,0.23,344.8,57.0,401.8,359.1,29.0,4.12,25.3,1174.4,0.24,361.0,58.3,419.3,360.4,16.4,2.2,34.2,1554.0,0.18,361.5,77.7,439.2,736.3,56.7,8.14,49.9,2363.3,0.44,740.1,116.2,856.3,47152719.8,3705.3,524.4,3408233.0,157695.6,31.6,47395425.3,7832071.7,55227497.0,0.0,0.0,47152719.8,50560952.8,55227497.0,32.97,11.0,0.0,43.97,34.94,11.94,0.0,46.88,138429760.0,12558430.0,44133400.0,28211098.0,0.0,284749.5,44281104.0,0.0,202385.3,8475803.0,0.0,29293.4,0.0,0.0,0.0,0.0,12069979.0,488451.0,0.0,253488.1,0.0,150.7,0.0,6.4,4449.8,0.0,0.0,327.1,9702.9,0.0,1963.2,0.0,3128.0,5525.4,1578.0,0.0,5158.7,0.0,0.0,0.0,1895.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2032,97505401.5,96153648.9,92696403.2,0.0,290934.5,83579414.8,290934.5,0.0,1060818.1,0.0359,0.054,0.15,63526.8,21723.3,338.0,27.2,3.86,24.0,1112.0,0.23,339.8,55.1,394.9,350.1,28.9,4.1,24.2,1128.8,0.24,352.0,55.9,408.0,346.3,10.4,1.27,37.5,1675.7,0.16,346.9,84.5,431.4,724.3,55.6,7.97,48.9,2352.9,0.42,727.9,114.8,842.8,44863069.0,3615.3,512.5,3176566.7,147488.1,30.3,45100107.8,7314270.4,52414378.2,0.0,0.0,44863069.0,48039635.7,52414378.2,32.25,12.96,0.0,45.21,34.17,14.06,0.0,48.23,133709010.0,12574234.0,44133400.0,27771588.0,0.0,163524.1,40131576.0,0.0,130954.0,8519335.0,0.0,29293.4,0.0,0.0,0.0,0.0,11901583.0,672650.9,0.0,255099.4,0.0,160.4,0.0,6.4,4449.8,0.0,0.0,452.9,9702.9,0.0,1963.2,0.0,3144.0,5525.4,1578.0,0.0,5156.7,0.0,0.0,0.0,1930.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2034,98681114.4,97225105.4,93729335.0,0.0,298412.2,84699135.5,298412.2,0.0,1157596.9,0.0359,0.054,0.15,65679.31,21965.2,336.4,27.9,3.96,23.2,1082.6,0.23,338.3,53.6,391.9,345.6,29.3,4.18,23.3,1089.1,0.24,347.5,53.8,401.4,384.5,7.6,0.78,45.1,1998.6,0.17,384.9,101.2,486.1,727.7,57.0,8.13,47.7,2364.0,0.39,731.5,114.0,845.4,43364520.8,3595.8,511.0,2991091.2,139411.0,29.7,43600615.0,6902457.5,50503072.5,0.0,0.0,43364520.8,46355612.0,50503072.5,32.09,13.38,0.0,45.47,34.0,14.52,0.0,48.52,129874540.0,12525970.0,44133400.0,27857418.0,0.0,148112.0,36301204.0,0.0,99482.7,8520783.0,0.0,29270.0,0.0,0.0,0.0,0.0,11735560.0,790410.2,0.0,258905.2,0.0,170.1,0.0,6.4,4449.8,0.0,0.0,536.6,9702.9,0.0,1963.2,0.0,3144.0,5525.4,1578.0,0.0,5154.7,0.0,0.0,0.0,1965.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,2036,99856917.5,98430493.9,94891383.3,0.0,303942.8,85991679.0,303942.8,0.0,1122480.8,0.0359,0.054,0.15,68688.33,22238.6,334.2,28.1,4.0,22.7,1061.9,0.23,336.0,52.5,388.5,342.1,29.3,4.18,22.8,1071.1,0.24,344.1,52.9,397.0,355.3,7.3,0.76,41.5,1838.1,0.16,355.7,93.0,448.7,711.4,54.9,7.82,47.4,2335.9,0.39,715.0,112.9,827.9,42286264.6,3566.5,507.4,2869502.8,134238.7,29.1,42520577.3,6635886.7,49156464.0,0.0,0.0,42286264.6,45155767.4,49156464.0,32.0,14.0,0.0,46.0,33.91,15.19,0.0,49.1,127528490.0,12438815.0,44133400.0,27782124.0,0.0,70011.0,34202550.0,0.0,96011.6,8510894.0,0.0,29270.0,0.0,0.0,0.0,0.0,11571828.0,866987.4,0.0,265398.8,0.0,178.6,0.0,6.4,4449.8,0.0,0.0,594.3,9702.9,0.0,1963.2,0.0,3144.0,5525.4,820.2,0.0,5152.8,0.0,0.0,0.0,2014.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
