reactor_tech,catalyst,toc_kg_s,foc_kg_s_yr,voc_kg,co2_kg_kg,h2o_kg_kg,h2ratio,co2ratio
CO2 hydrogenation,None,37261091,726865,0.00079,0.020296,0.988,0.195,1.423
RCC no recycle,CZA Orig,16547666.03,736768.387,0.04566905,0.30690417,28.88611851,1.002353684,35.70399366
RCC recycle,CZA Orig,9124478.816,418737.4004,0.035813187,0.078377494,5.858573624,0.326532476,9.118113812
RCC no recycle,CZA,19150576.7,829689.0589,-0.950616125,0.378428177,118.9107366,3.35823621,44.02479055
RCC recycle,CZA,9496018.662,424680.6675,0.030841992,0.078312183,6.394659478,0.335099771,9.110515583
RCC no recycle,Ca/CZA,17207932.69,776946.9041,-0.96729097,0.260921395,107.3555699,3.053578151,40.47268355
RCC recycle,Ca/CZA,9205324.366,419228.0966,0.00639655,0.058228283,6.215437458,0.331063017,9.032044058
RCC no recycle,K/CZA,9554183.284,505648.4704,-0.388155528,0.078128125,39.84102368,1.266865819,18.59131747
RCC recycle,K/CZA,6621359.906,363127.6112,0.012071858,0.03181976,2.569029079,0.248240577,7.571810368
RCC no recycle,Na/CZA,8614498.487,472960.6527,-0.294574682,0.061446216,30.42295463,1.008276917,16.35464059
RCC recycle,Na/CZA,6791826.559,366645.4854,0.005311588,0.028732272,2.83527395,0.253104021,7.647434722
