reactor_tech,catalyst,toc_kg_s,foc_kg_s_yr,voc_kg,co2_kg_kg,h2o_kg_kg,h2ratio,co2ratio,kwh_kg
SMR,None,27427535.72,724454.7192,0.012271827,1.13442,2.669877132,1.00E-16,0,0.338415339
CO2 hydrogenation,None,37261091,726865,0.00079,0.020296,0.988,0.195,1.423,0.09466667
RCC no recycle,CZA Orig,16547666.03,736768.387,0.04566905,0.30690417,28.88611851,1.002353684,35.70399366,0.892844636
RCC recycle,CZA Orig,9124478.816,418737.4004,0.035813187,0.078377494,5.858573624,0.326532476,9.118113812,0.721669808
RCC no recycle,CZA,19150576.7,829689.0589,-0.950616125,0.378428177,118.9107366,3.35823621,44.02479055,1.159362271
RCC recycle,CZA,9496018.662,424680.6675,0.08621207,0.078312183,6.394659478,0.335099771,9.110515583,0.794807345
RCC no recycle,Ca/CZA,17207932.69,776946.9041,-0.746502552,0.260921395,107.3555699,3.053578151,40.47268355,1.064284552
RCC recycle,Ca/CZA,9205324.366,419228.0966,0.092475398,0.058228283,6.215437458,0.331063017,9.032044058,0.786466327
RCC no recycle,K/CZA,9554183.284,505648.4704,-0.327664014,0.078128125,39.84102368,1.266865819,18.59131747,0.482940411
RCC recycle,K/CZA,6621359.906,363127.6112,0.059206547,0.03181976,2.569029079,0.248240577,7.571810368,0.460142294
RCC no recycle,Na/CZA,8614498.487,472960.6527,-0.247368483,0.061446216,30.42295463,1.008276917,16.35464059,0.421340209
RCC recycle,Na/CZA,6791826.559,366645.4854,0.047700132,0.028732272,2.83527395,0.253104021,7.647434722,0.489793618
CO RCC,ZA-Z,11518008.49,448099.8701,0.094584963,0.055589749,11.39177703,0.220487187,8.145319804,4.146474665
CO RCC,K/ZA-Z,11230102.39,443591.1637,0.042482387,0.01588141,11.33431031,0.220675045,8.16086721,4.157592004
CO RCC,ZA,11343188.03,444942.7381,0.076490072,0.043679449,11.30463316,0.219370122,8.112070526,4.128559704
CO RCC,K/ZA,11344001.72,446281.5276,0.040930422,0.016033151,11.5044475,0.224007076,8.247232909,4.195858545
CO RCC,K/ZA 2,11344001.72,446281.5276,0.03706618,0.016033151,11.5044475,0.199465,8.247232909,4.195858545
CO RCC,K/ZA 3,11344001.72,446281.5276,0.03706618,0.016033151,11.5044475,0.174922923,8.247232909,4.195858545
CO RCC,K/ZA 4,11344001.72,446281.5276,0.03706618,0.016033151,11.5044475,0.150380846,8.247232909,4.195858545
CO RCC,K/ZA 5,11344001.72,446281.5276,0.03706618,0.016033151,11.5044475,0.125838769,8.247232909,4.195858545
CO RCC,ZA-Z 30,7952791.314,384201.9,0.034976699,0.051917485,3.059786364,0.249632074,7.523813736,0.863908054
CO RCC,K/ZA-Z 30,7459199.015,376295.1419,-0.001885133,0.015228586,2.979468698,0.24960651,7.532241137,0.863986847
CO RCC,ZA 30,7802326.315,381516.5409,0.021117506,0.040947851,2.999340402,0.248409467,7.499040235,0.860536195
CO RCC,K/ZA 30,7547580.189,378481.1474,-0.003353272,0.015368966,3.127372201,0.253122596,7.607461209,0.875239869
