EntityID,EntityName,PlantID,PlantName,Sector,PlantState,GeneratorID,UnitCode,NameplateCapacity_MW_,NetSummerCapacity_MW_,NetWinterCapacity_MW_,Technology,EnergySourceCode,PrimeMoverCode,OperatingMonth,OperatingYear,PlannedRetirementMonth,PlannedRetirementYear,Status,PlannedDerateYear,PlannedDerateMonth,PlannedDerateOfSummerCapacity_MW_,PlannedUprateYear,PlannedUprateMonth,PlannedUprateOfSummerCapacity_MW_,County,Latitude,Longitude,GoogleMap,BingMap,BalancingAuthorityCode
6452,"Florida Power & Light Co",612,"Fort Myers",Electric Utility,FL,2A,F901,1721.5,199.5,207,Natural Gas Fired Combined Cycle,NG,CT,12,2000,,,(OP) Operating,,,,,,,Lee,26.6967,-81.7831,Map,Map,FPL
6452,"Florida Power & Light Co",620,"Sanford",Electric Utility,FL,4,G160,2377.8,388,360,Natural Gas Fired Combined Cycle,NG,CA,7,1969,,,(OP) Operating,,,,,,,Volusia,28.8419,-81.3256,Map,Map,FPL
6455,"Duke Energy Florida, LLC",628,"Crystal River",Electric Utility,FL,1GTA,CC1,1970.6,243,295,Natural Gas Fired Combined Cycle,NG,CT,10,2018,,,(OP) Operating,,,,,,,Citrus,28.9656,-82.6977,Map,Map,FPC
7801,"Gulf Power Co",643,"Lansing Smith",Electric Utility,FL,3A,G180,619.7,NaN,NaN,Natural Gas Fired Combined Cycle,NG,CT,4,2002,,,(OP) Operating,,,,,,,Bay,30.2686,-85.7003,Map,Map,SOCO
7140,"Georgia Power Co",710,"Jack McDonough",Electric Utility,GA,4,G104,2764.8,360,360,Natural Gas Fired Combined Cycle,NG,CA,12,2011,,,(OP) Operating,,,,,,,Cobb,33.8239,-84.4758,Map,Map,SOCO
59371,"Mainline Generation LLC",862,"Grand Tower Energy Center LLC",IPP Non-CHP,IL,1,CC01,640.9,161,182,Natural Gas Fired Combined Cycle,NG,CT,6,2001,,,(OS) Out of service and NOT expected to return to service in next calendar year,,,,,,,Jackson,37.6577,-89.51116,Map,Map,MISO
9273,"Indianapolis Power & Light Co",991,"Eagle Valley (IN)",Electric Utility,IN,GT1,EGVS,644,207,207,Natural Gas Fired Combined Cycle,NG,CT,4,2018,,,(OP) Operating,,,,,,,Morgan,39.48517,-86.4183,Map,Map,MISO
11249,"Louisville Gas & Electric Co",1363,"Cane Run",Electric Utility,KY,7A,7ABS,807,213,226,Natural Gas Fired Combined Cycle,NG,CT,6,2015,,,(OP) Operating,,,,,,,Jefferson,38.1831,-85.8892,Map,Map,LGEE
18642,"Tennessee Valley Authority",1378,"Paradise",Electric Utility,KY,CTG1,CC1,1160,211,231,Natural Gas Fired Combined Cycle,NG,CT,4,2017,,,(OP) Operating,,,,,,,Muhlenberg,37.2608,-86.9783,Map,Map,TVA
49965,"Constellation Mystic Power LLC",1588,"Mystic Generating Station",IPP Non-CHP,MA,GT81,G941,1744.4,228.8,268.4,Natural Gas Fired Combined Cycle,NG,CT,4,2003,6,2024,(OP) Operating,,,,,,,Middlesex,42.3908,-71.0675,Map,Map,ISNE
