Wind Speed [m/s],Power [MW],c_P
3,0.042733312,0.056744155
3.54953237,0.292585981,0.23456242
4.067900771,0.607966543,0.323807552
4.553906848,0.981097693,0.372458741
5.006427063,1.40198084,0.400568453
5.424415288,1.85867086,0.417505346
5.806905228,2.337575997,0.428006012
6.153012649,2.824097302,0.434644889
6.461937428,3.30306456,0.438881386
6.732965398,3.759432328,0.441592276
6.965470002,4.178637714,0.443304138
7.158913742,4.54719121,0.444344872
7.312849418,4.855342682,0.445121262
7.426921164,5.091537139,0.445595523
7.500865272,5.248453137,0.445877517
7.534510799,5.320793207,0.445994544
7.541241633,5.335345498,0.446017936
7.58833327,5.43790563,0.446180743
7.675676842,5.631253025,0.446450527
7.803070431,5.920980626,0.446802304
7.970219531,6.315115602,0.447186617
8.176737731,6.824470067,0.447555681
8.422147605,7.462846389,0.447872402
8.70588182,8.238359448,0.447631643
9.027284445,9.16796703,0.446807039
9.385612468,10.285211,0.446009075
9.780037514,11.61723699,0.445245595
10.20964776,13.19441511,0.444504551
10.65845809,15,0.444146721
10.67345004,15.00000129,0.442277837
11.17037214,14.99997096,0.385838745
11.6992653,15.00000934,0.335841302
12.25890683,15.00000063,0.291913641
12.84800295,15.00000011,0.253572834
13.46519181,14.99994712,0.220277652
14.10904661,15.00008082,0.191478025
14.77807889,15.00005209,0.166631525
15.470742,15.00003592,0.145236981
16.18543466,15.00002562,0.126834454
16.92050464,15.00001835,0.11101207
17.67425264,15.00001281,0.097406244
18.44493615,15.00000835,0.085699517
19.23077353,15.00000488,0.075617007
20.02994808,15.00000233,0.066922199
20.8406123,15.00000066,0.059412551
21.66089211,14.99987148,0.052914764
22.4888912,15.00000047,0.04728305
23.32269542,15.00000194,0.042390978
24.1603772,15.00000417,0.038132791
25,15.00000688,0.034418329
