Source,Location ID,Jurisdiction,Latitude,Longitude,Time Zone,Local Time Zone,Distance to Shore,Directionality Coefficient,Energy Period,Maximum Energy Direction,Mean Absolute Period,Mean Wave Direction,Mean Zero-Crossing Period,Omni-Directional Wave Power,Peak Period,Significant Wave Height,Spectral Width,Water Depth,Version
WaveWatchIII,0,Hawaii,21.76 N,157.9 W,0,-10,0,-,s,deg,s,deg,s,W/m,s,m,-,0,v1.10
wave height,wave period,Year,Month,Day,Hour,Minute,,,,,,,,,,,,,
2.505,9.44,2019,1,1,0,0,,,,,,,,,,,,,
2.51,9.485,2019,1,1,3,0,,,,,,,,,,,,,
2.55,9.515,2019,1,1,6,0,,,,,,,,,,,,,
2.59,9.63,2019,1,1,9,0,,,,,,,,,,,,,
2.655,9.69,2019,1,1,12,0,,,,,,,,,,,,,
2.79,9.7,2019,1,1,15,0,,,,,,,,,,,,,
2.945,9.63,2019,1,1,18,0,,,,,,,,,,,,,
2.98,9.645,2019,1,1,21,0,,,,,,,,,,,,,
2.99,11.915,2019,1,2,0,0,,,,,,,,,,,,,
2.965,15.7,2019,1,2,3,0,,,,,,,,,,,,,
2.94,15.47,2019,1,2,6,0,,,,,,,,,,,,,
2.915,15.375,2019,1,2,9,0,,,,,,,,,,,,,
2.895,15.255,2019,1,2,12,0,,,,,,,,,,,,,
2.88,15.07,2019,1,2,15,0,,,,,,,,,,,,,
2.865,14.84,2019,1,2,18,0,,,,,,,,,,,,,
2.835,14.665,2019,1,2,21,0,,,,,,,,,,,,,
2.815,14.595,2019,1,3,0,0,,,,,,,,,,,,,
2.81,14.59,2019,1,3,3,0,,,,,,,,,,,,,
2.805,14.61,2019,1,3,6,0,,,,,,,,,,,,,
2.805,14.665,2019,1,3,9,0,,,,,,,,,,,,,
2.82,14.765,2019,1,3,12,0,,,,,,,,,,,,,
2.815,14.995,2019,1,3,15,0,,,,,,,,,,,,,
2.785,15.12,2019,1,3,18,0,,,,,,,,,,,,,
2.75,15.07,2019,1,3,21,0,,,,,,,,,,,,,
2.72,14.855,2019,1,4,0,0,,,,,,,,,,,,,
2.7,14.52,2019,1,4,3,0,,,,,,,,,,,,,
2.7,14.295,2019,1,4,6,0,,,,,,,,,,,,,
2.715,14.2,2019,1,4,9,0,,,,,,,,,,,,,
2.735,13.985,2019,1,4,12,0,,,,,,,,,,,,,
2.695,12.09,2019,1,4,15,0,,,,,,,,,,,,,
2.62,9.625,2019,1,4,18,0,,,,,,,,,,,,,
2.535,9.59,2019,1,4,21,0,,,,,,,,,,,,,
2.52,9.505,2019,1,5,0,0,,,,,,,,,,,,,
2.57,11.58,2019,1,5,3,0,,,,,,,,,,,,,
2.685,14.825,2019,1,5,6,0,,,,,,,,,,,,,
2.72,13.8,2019,1,5,9,0,,,,,,,,,,,,,
2.7,13.025,2019,1,5,12,0,,,,,,,,,,,,,
2.605,12.585,2019,1,5,15,0,,,,,,,,,,,,,
2.51,12.185,2019,1,5,18,0,,,,,,,,,,,,,
2.395,11.765,2019,1,5,21,0,,,,,,,,,,,,,
2.275,11.49,2019,1,6,0,0,,,,,,,,,,,,,
2.16,11.155,2019,1,6,3,0,,,,,,,,,,,,,
2.06,10.89,2019,1,6,6,0,,,,,,,,,,,,,
1.945,10.545,2019,1,6,9,0,,,,,,,,,,,,,
1.845,10.2,2019,1,6,12,0,,,,,,,,,,,,,
1.745,9.92,2019,1,6,15,0,,,,,,,,,,,,,
1.66,9.58,2019,1,6,18,0,,,,,,,,,,,,,
1.595,9.455,2019,1,6,21,0,,,,,,,,,,,,,
1.54,9.285,2019,1,7,0,0,,,,,,,,,,,,,
1.485,9.13,2019,1,7,3,0,,,,,,,,,,,,,
1.43,9.065,2019,1,7,6,0,,,,,,,,,,,,,
1.385,9.75,2019,1,7,9,0,,,,,,,,,,,,,
1.35,10.83,2019,1,7,12,0,,,,,,,,,,,,,
1.315,10.66,2019,1,7,15,0,,,,,,,,,,,,,
1.275,10.435,2019,1,7,18,0,,,,,,,,,,,,,
1.26,10.275,2019,1,7,21,0,,,,,,,,,,,,,
1.26,10.145,2019,1,8,0,0,,,,,,,,,,,,,
1.26,10.015,2019,1,8,3,0,,,,,,,,,,,,,
1.29,9.935,2019,1,8,6,0,,,,,,,,,,,,,
1.35,9.93,2019,1,8,9,0,,,,,,,,,,,,,
1.515,10.865,2019,1,8,12,0,,,,,,,,,,,,,
1.79,12.45,2019,1,8,15,0,,,,,,,,,,,,,
1.99,12.07,2019,1,8,18,0,,,,,,,,,,,,,
2.105,12.385,2019,1,8,21,0,,,,,,,,,,,,,
2.16,13.43,2019,1,9,0,0,,,,,,,,,,,,,
2.16,13.355,2019,1,9,3,0,,,,,,,,,,,,,
2.12,12.935,2019,1,9,6,0,,,,,,,,,,,,,
2.11,12.15,2019,1,9,9,0,,,,,,,,,,,,,
2.165,13.48,2019,1,9,12,0,,,,,,,,,,,,,
2.27,16.25,2019,1,9,15,0,,,,,,,,,,,,,
2.42,15.54,2019,1,9,18,0,,,,,,,,,,,,,
2.565,15.135,2019,1,9,21,0,,,,,,,,,,,,,
2.655,14.91,2019,1,10,0,0,,,,,,,,,,,,,
2.665,14.935,2019,1,10,3,0,,,,,,,,,,,,,
2.635,14.865,2019,1,10,6,0,,,,,,,,,,,,,
2.565,14.595,2019,1,10,9,0,,,,,,,,,,,,,
2.455,14.33,2019,1,10,12,0,,,,,,,,,,,,,
2.34,14.035,2019,1,10,15,0,,,,,,,,,,,,,
2.255,13.72,2019,1,10,18,0,,,,,,,,,,,,,
2.2,13.51,2019,1,10,21,0,,,,,,,,,,,,,
2.19,13.44,2019,1,11,0,0,,,,,,,,,,,,,
2.195,13.67,2019,1,11,3,0,,,,,,,,,,,,,
2.185,13.83,2019,1,11,6,0,,,,,,,,,,,,,
2.14,13.355,2019,1,11,9,0,,,,,,,,,,,,,
2.07,13.015,2019,1,11,12,0,,,,,,,,,,,,,
2.005,12.665,2019,1,11,15,0,,,,,,,,,,,,,
1.935,12.335,2019,1,11,18,0,,,,,,,,,,,,,
1.86,12.045,2019,1,11,21,0,,,,,,,,,,,,,
1.785,11.89,2019,1,12,0,0,,,,,,,,,,,,,
1.685,11.735,2019,1,12,3,0,,,,,,,,,,,,,
1.615,11.59,2019,1,12,6,0,,,,,,,,,,,,,
1.595,16.065,2019,1,12,9,0,,,,,,,,,,,,,
1.72,23.415,2019,1,12,12,0,,,,,,,,,,,,,
2.065,22.08,2019,1,12,15,0,,,,,,,,,,,,,
2.575,20.69,2019,1,12,18,0,,,,,,,,,,,,,
3.065,19.615,2019,1,12,21,0,,,,,,,,,,,,,
3.455,18.83,2019,1,13,0,0,,,,,,,,,,,,,
3.71,18.295,2019,1,13,3,0,,,,,,,,,,,,,
3.755,17.87,2019,1,13,6,0,,,,,,,,,,,,,
3.67,17.68,2019,1,13,9,0,,,,,,,,,,,,,
3.51,17.43,2019,1,13,12,0,,,,,,,,,,,,,
3.31,17.035,2019,1,13,15,0,,,,,,,,,,,,,
3.095,16.68,2019,1,13,18,0,,,,,,,,,,,,,
2.88,16.435,2019,1,13,21,0,,,,,,,,,,,,,
2.695,16.175,2019,1,14,0,0,,,,,,,,,,,,,
2.54,15.88,2019,1,14,3,0,,,,,,,,,,,,,
2.445,15.705,2019,1,14,6,0,,,,,,,,,,,,,
2.435,15.665,2019,1,14,9,0,,,,,,,,,,,,,
2.475,15.595,2019,1,14,12,0,,,,,,,,,,,,,
2.565,15.465,2019,1,14,15,0,,,,,,,,,,,,,
2.65,15.435,2019,1,14,18,0,,,,,,,,,,,,,
2.695,15.4,2019,1,14,21,0,,,,,,,,,,,,,
2.71,15.295,2019,1,15,0,0,,,,,,,,,,,,,
2.715,15.225,2019,1,15,3,0,,,,,,,,,,,,,
2.72,15.205,2019,1,15,6,0,,,,,,,,,,,,,
2.725,15.325,2019,1,15,9,0,,,,,,,,,,,,,
2.745,15.495,2019,1,15,12,0,,,,,,,,,,,,,
2.785,15.66,2019,1,15,15,0,,,,,,,,,,,,,
2.865,16.365,2019,1,15,18,0,,,,,,,,,,,,,
