P [kW],Q [kVA]
-4.6,-3.6
-4.6,-3.4
-4.6,-3.4
-4.6,-3.3
-4.6,-3.3
-4.6,-3.3
-4.5,-3.2
-4.5,-3
-4.5,-3
-4.4,-2.8
-4.4,-2.7
-4,-3
-3.9,-3
-3.9,-3
-4.3,-3
-4.4,-3
-4.4,-2.8
-4.4,-2.5
-4.3,-2.5
-4.4,-2.5
-4.4,-2.6
-4.4,-2.7
-4.4,-2.8
-4.5,-2.9
-4.5,-3
-4.5,-3
-4.5,-3
-4.5,-3.1
-4.5,-3.1
-4.5,-3
-4.4,-3
-0.51,-3.2
44.7,-3.6
125,-5
218,-7.2
278,-7.9
289,-8
265,-7.6
209,-6.7
123,-4.8
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
316,-14
213,-7
224,-6.2
248,-6.5
197,-5.5
219,-6.3
197,-6.1
222,-7.4
-0.48,-0.19
0.00000515,0.00000167
-0.0000022,-0.0000026
-0.0000046,-0.0000018
0.00000825,-0.00000059
0.0000288,0.00000363
0.0000243,0.000000714
0.00000266,0.000000269
0.0000167,0.000000188
0.00000449,-0.000001
0.00000029,-0.00000079
0.00000386,0.000000734
0.0000202,-0.00000052
0.0000119,-0.00000066
0.00000246,0.000000614
-0.000017,0.000000621
-0.0000076,-0.0000021
-0.000026,-0.0000014
-0.000024,-0.00000031
-0.00000014,-0.0000013
0.0000261,0.000000681
0.0000515,0.00000193
0.0000422,-0.00000029
0.0000163,-0.00000095
0.0000134,-0.0000015
0.0000124,0.000000352
0.00000613,0.000000611
0.0000077,0.00000161
0.0000109,0.00000295
-0.0000011,0.00000137
-0.000002,0.000000858
0.00000785,-0.0000043
0.00000514,-0.0000021
0.00000658,0.000000759
0.00000984,-0.00000085
0.00000493,-0.0000025
0.0000023,0.00000115
0.00000851,-0.000000066
0.00000593,-0.0000015
196,-9
259,-10
241,-9.6
174,-6.7
233,-7.9
109,-4.6
7.42,-2.7
-0.47,-3.6
-3.9,-3.2
-4.4,-2.7
-4.4,-2.8
-4.4,-2.8
-4.4,-2.9
-4.4,-3
-4.4,-3.1
-4.4,-3.1
-4.4,-3.2
-4.4,-3.2
-4.4,-3.3
-4.4,-3.3
-4.4,-3.2
-4.3,-3
-4.3,-2.8
11.4,-3.1
84,-3.9
210,-6.6
281,-7.7
289,-7.8
274,-7.7
252,-7.1
221,-6.1
112,-4.2
12.6,-4
