P [kW],Q [kVA]
-8.6,18.8
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-4.8,11.8
-4.7,11
-4.9,11.8
-5,12
-4.9,12.1
-5.1,12.9
-5.3,13.5
-5.2,14
-5,13.8
-7.3,17.3
-9.5,20.2
-8.9,19.7
-6.2,15.2
-5.1,12.1
-5.1,12.6
64.4,16
609,33.8
-5.4,12
-5.3,12
-8.5,15.1
928,58.5
1370,84.1
1480,95.1
1450,93.8
1190,76.3
983,54.8
972,49.2
196,12.4
9.63,13.5
-7.4,15.5
-9.2,19.3
-8.4,17.5
-8.6,17.9
-8.4,17.5
-8.7,17.6
-9,18.2
23,13.8
205,12.7
44.2,15.5
-8.8,15.6
-8.5,15.7
-8.1,14.7
-7.9,14.8
-8.4,15.3
-8,15.1
-7.7,14.8
-8,15.1
-7.5,14.5
-7.8,14.1
-8.2,15
-8,14.5
-8,14.6
-8.3,15.1
-8.4,15.6
-8.2,15.9
-8.2,16.1
0.925,14.5
-8,16
-8.2,16.6
-9.7,19.8
-8,15.9
-8.7,16.3
-8.9,17.2
-8.2,14.8
89.2,12.6
194,13.6
87.3,11.9
4.5,13.5
-7.8,15.9
-8.3,17
-7.6,15.4
-7.7,15.2
-7.9,15
-8.6,16.7
-8.4,16.4
95,16.6
109,15.4
279,21.3
903,62.6
475,29.7
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-7.8,18
-5.6,13.1
-5,12.2
-5.3,12.7
1.59,11.9
-5.1,12.5
-5.1,12.1
-5,12
-9.1,18.7
-9.5,19.4
-10,20.9
-9.1,19.3
-6.7,15
-5.9,14.2
-5.6,13.6
-7.9,17.7
-6.7,15.2
79,13.5
2.47,13
-6.1,12.2
-5.4,10.8
-5.2,10.2
-5.1,10.3
-4.9,10.6
-6.5,15.1
-5.1,13.1
-4.5,12.1
-4.5,11.6
-4.6,11.8
-4.6,12
-4.4,11.8
-4.8,12.5
-4.9,13.3
-4.8,13.3
-4.5,13.6
-8.3,18.7
-8.6,19.8
-8.6,19.8
-6.4,16.1
-4.5,13.2
-4.8,12.9
-4.3,12.2
716,52.5
1500,98
1470,94.5
1490,94.5
1330,87.4
1080,73.8
1360,82.7
712,42.1
831,46.9
783,47.3
656,37
149,22.5
113,20.7
433,32.1
201,20.3
873,58.1
1430,93.5
1480,96.6
1280,83.6
1440,93.9
1360,81.3
1310,78.7
545,28
314,17.7
335,18.6
11.6,15.4
-7.8,15.3
-8.8,17
120,10.7
213,13.1
229,17.8
484,27.6
171,12.3
232,13.1
412,19.5
25.6,16.1
209,13.6
364,17.9
304,16.4
441,20.4
447,21.5
251,15.4
244,16.6
475,40.6
1150,68.6
-5.9,16.1
148,15.5
419,21.1
193,18.1
22.2,13.6
37.8,13.5
124,14.2
75.7,13.9
248,14.3
232,12.9
96.1,11.4
-9,18.5
-3.8,15.6
-8.7,17.8
436,30.6
1200,66.4
576,30.5
18.7,14.9
33.3,17.9
1020,60.8
1320,80.6
1320,81.4
957,56.7
819,44.4
317,20.4
27.1,13.7
25,17.8
35.8,14.8
53.8,12.7
116,16
261,17.8
83.3,13.1
1170,65.2
1430,85.6
445,35.7
24.5,15.4
74.3,11.7
64.5,11
2.88,16
-8.2,15.7
-7.9,15.5
49.3,12.7
281,15
387,17.7
27.5,13.2
34.4,14.7
309,15.5
297,15
329,17.6
264,14.6
353,15.5
111,14
-9,18.6
0.287,18
545,27.4
552,36.3
1430,87.2
1500,90.9
1490,87.9
1490,87
954,63.1
1430,87.6
1230,75
538,29.1
577,34.2
922,50.3
1260,72.8
1210,69
612,40.5
727,50.3
14.2,18.5
132,12.9
122,11.9
245,14.3
757,35.3
255,16.4
146,11.9
139,11.9
35.2,12.5
-8.2,17.3
16.2,16.2
16.4,13.8
-2.4,14.5
-7.8,15.7
8.33,12.1
110,12.6
227,12.9
-1.4,13.8
-8.1,15.6
-7.8,15.3
20.3,12.8
147,13.1
248,14.1
192,13
59.2,10.9
-7.6,14.7
-7.7,14.4
-8.3,15
-8,13.7
-7.7,13.6
-11,19.4
-8.6,15.8
148,12.7
69.3,13
-8.1,16
-8.3,16.8
-8.4,16.8
-7.9,15.4
-7.6,14.4
8.92,13.3
22,11.3
-10,17.9
166,16.4
62.5,13.3
35.4,12.7
76.9,13.4
382,18.8
268,17.4
678,34.9
1120,67.8
1410,88.4
1480,95.3
1490,98.1
1500,98.9
1480,94
1400,89.4
1430,92.1
934,64.5
413,37.6
1390,84.9
1160,67.8
779,37.8
1260,75
1390,82.6
1340,81.2
1130,64.4
1450,87.9
1390,84.5
1460,90.4
1500,93.1
148,23.6
259,27
259,19.1
182,19.8
192,20.1
341,19.6
612,37.5
-4.2,19
-0.78,15.4
-4.7,15.9
47.5,11
122,10.9
-9,9.19
-7.7,14.6
-8.1,16.9
-7.2,14.7
-7.9,16
-7.5,15
60.6,14.7
100,10.9
95.8,11.3
104,11.4
13.4,14.9
-8,17
-8,16.8
-8.7,18.1
-9.1,18.9
-11,23.4
-10,20.5
15.7,13
32.4,12.3
-6.2,16.2
-8.9,17.3
-8.7,16.5
-8.7,16.6
-8.7,16.3
-8.5,16
-7.6,14.5
-7.8,15
-7.7,14.5
59.6,11.9
126,10.2
10.8,10
-7.4,14.5
-7.6,14.8
-7.9,15.5
-7.8,15.4
-7.9,15.5
-7.9,15.5
-8.1,15.7
-12,25
-9.4,18.3
-8.4,15.7
-10,19.1
-9.7,19.6
-11,22.4
-12,27
-8.6,17
-8.8,17.1
-8.6,16.9
-7.9,15.9
128,12.6
141,12.2
131,11.4
144,13.6
107,12
53.8,13.8
-7.1,14.3
-8,16.3
-8.2,16.7
-7.9,16.2
-8,16.2
-8.4,16.9
-8.5,16.9
-8.2,17.3
-10,19.5
-9.5,18.8
-9.4,17.7
-9.6,18.1
-9.6,19
-9.6,17.9
-9.7,18.6
-10,19.4
-9.2,17.5
-8.4,15.4
-9,17
-7.8,15.7
-4.9,13.1
-5.5,12.9
-5.1,12.5
-5.4,12.7
24.8,11.4
-4,13.8
-3.2,14
-5.5,14.7
-5.8,15.2
-5.4,15.3
-8.3,16.4
-6.1,16.3
-6.3,15.2
-5.9,14.2
-5.4,13.2
-5.9,12.9
-6.1,13.3
-6.1,13.4
-4.9,11.7
-5.3,11.6
-5.6,11.4
-5.3,11.6
-7.1,13
60.4,10.2
142,11.6
170,11.7
25.3,9.92
20.8,9.76
-8.3,14.9
-7.9,14.4
-8.7,16.5
-8.5,15.9
-8.7,16.1
-8.9,16.6
-9.7,17.9
-8.7,16.6
-9.3,16.5
-8.3,15.6
-6,14.4
-6.2,12.9
-5.4,12.3
-5.7,12.4
-5.6,11.7
-5.8,12.4
-6.8,13.9
96.4,13.1
171,13.2
177,13.5
190,14.1
113,11.8
18.7,10.3
-6,13.1
-8.2,14.8
-8.5,15.5
-10,18.4
-10,18.4
-9.2,16.6
-0.6,15.5
-9.9,16.5
73.5,12.9
8.93,14.2
-9.8,17.5
-10,18.7
-9,15
-9.3,14.9
3.5,13.6
65.3,15.1
-9.4,17.8
-8.7,16.4
-7.6,14.2
-7.9,14.5
-8.6,16.4
-9.8,17.9
-8.9,15.9
-9.7,18.1
-9.6,18.4
-9.2,16.5
-8.6,17.2
-9.4,17.5
49.2,19.9
261,25.9
-9.1,19.4
-7.6,17.4
-8.8,18.1
-8.8,18.6
-9.1,18.3
-7.8,15.2
-8.3,15.3
-7.8,14.7
-8.6,15.3
-8.7,14.8
-8.8,15.2
-8.2,14.5
-7.7,14.3
-7.7,14.4
-7.7,14.6
-7.8,14.4
-7.9,13.8
-7.9,13.8
-8.2,13.9
-7.9,14.3
-8.1,14.7
-8.2,15.2
-8.3,15.4
-8.3,15.4
-8.2,15.7
-8.4,15.8
-8.4,15.6
-8.2,15.5
-8.5,15
-8.1,14.5
-8.5,13.9
-8.1,14.4
-9,15
-8.7,15.4
-8.6,15.4
-8.7,15.7
-8.4,15.9
-8.7,15.7
-8.5,15.4
-8.3,15.2
-8.4,14.6
-8.4,14.5
-8.5,15.2
-8.6,15.6
-8.5,15.7
-8.6,15.7
-8.7,16
-9,16.9
-8.8,17.1
-7.2,16
-5.5,14.8
-6,15.1
-5.6,14.8
-5.7,13.7
-5.5,14.1
-5.8,13.9
-5.9,13.9
-5.5,13.8
-5.9,14.3
-5.8,14.5
-5.9,14.2
-5.7,14.8
-5.9,14.6
-5.5,13.5
-7.1,14.5
-9.2,17.6
-9.3,18.2
-8.3,17.5
-5.6,14.2
-5.7,14.1
-5.7,14.9
-9,19.4
-9.8,20.8
-9.6,20.7
-9.4,20.6
-9.3,20.2
-6.3,14.8
-5.6,14.1
-5.9,13.3
-5.4,14
-8,16.9
-9.9,20.1
-9.8,20.2
-9.7,20.4
-6.7,15.8
-5.9,14.7
-5.9,14.3
-5.6,14.4
-5.5,13.7
-5.5,13.6
-5.3,13.2
-5.5,13.9
-5.5,14.2
-5.4,14
-8.1,18.2
-9.6,20.6
-9.5,20.7
-7.1,16.9
-5.4,14.4
-5.4,14.4
-5.7,14
-5.3,13.2
-5.4,12.5
-8.5,17.4
-9.2,18.4
-9.7,18.6
-9.9,19
-7.4,15.9
-5.6,12.9
-5.3,13.5
-5.3,13.6
-4.9,13.1
-5,13.2
-5.2,13.3
-5.3,13.5
-4.9,13
-5.1,14
-5.2,14.7
-5.2,14.5
-5.2,15.3
-8.4,19.7
-9,20.5
-6,16.7
-5.4,14
-5.1,13.9
-5.2,13.1
-5.1,12.9
-5.1,13.2
20.7,16
14.1,15.3
126,19.6
550,34.8
1290,72.7
440,24
562,36.5
802,40.5
300,17
28.2,10.4
-8,16.6
-8.5,17.5
-8,16.9
-3.7,16.4
706,37.6
1460,89.3
537,33.6
169,18.4
259,17.7
1120,65.2
68.1,15.6
6.68,16.7
33.8,15
-5.8,17.4
-7.6,15.3
-8.1,14.7
-7.9,14.4
-8.3,14.3
672,51.6
879,54.3
902,48.3
1360,80.7
1330,81
857,44.6
531,28.6
1180,68.3
426,21.5
-8.8,19.1
1.29,17
296,19.6
-7.9,17.7
-7.7,16.8
-7.6,16.6
28.2,13.8
1080,67.3
627,29.6
347,18.2
-9.2,15.3
11.1,13.7
373,21.2
338,31.9
-8.5,16.3
996,61.4
1080,65.2
1110,68.3
913,54.2
645,35.5
1020,59.4
1240,73.8
1210,76.7
1360,87.1
1400,87.3
1190,70.7
1140,60.3
881,45.7
977,52.5
1260,69.2
587,27.1
568,26.5
631,34.1
969,51.6
579,29.6
464,25.8
122,19.3
10.5,14.2
8.93,15.7
233,25.4
569,33.7
959,54.9
1120,62.8
1440,90.8
846,47.8
291,15.8
470,25.8
754,39.4
659,34.7
845,41.6
94.8,13.8
115,18
90.2,17.7
-5.2,17.6
-8.2,17.8
30.2,16.4
-7.8,15.8
-1.3,15.8
253,23.9
745,38.3
983,57.7
1130,64.4
973,56.2
503,33.5
518,32.9
607,32.8
210,15.7
0.291,18.4
-7.4,15.3
-7.9,16.3
786,47.2
833,45.5
120,13.2
310,19.2
3.79,22.8
18.1,17.5
95.6,17.3
-3.7,19.5
-10,24.5
331,24.4
264,28.3
-9.6,19.8
-7.8,17
-8.3,17.3
-8.2,17.2
-8.5,17.4
-8.8,18.1
-8.9,17.9
-8.8,18.1
-8.7,17.6
-8.8,17.3
-8.5,17
-8.1,16.8
-5.5,14.3
-5.3,13.6
-6,15.2
-6.4,15.4
-6.3,15.9
-7.7,18
-7.4,17.2
-8.6,19.4
-13,24.2
-9.4,20
-7.8,17.3
-11,19.6
-12,21.6
-11,20.1
-11,19.6
-10,19.3
-9.5,19.2
-6.4,14.2
-7.2,16.3
-5.7,14.4
-9,18.7
-9.4,19.5
-9.1,18
-9.1,18.9
-11,23.4
-8.3,17.9
-6.7,16.1
-8.2,18.9
-9,21
-10,21.8
-12,25.9
-12,23.7
-12,25.1
-11,22
-12,23.8
-13,25
-12,22.1
-12,21.1
-11,20.9
-11,20.8
-10,19.6
-9.6,19.2
-9.6,19.2
-8.2,18
-6.1,14.6
-6.2,15.2
-6.7,15.5
-6.8,15.7
-7.7,16.9
-12,23.6
-11,21
-6.9,17.1
-7.4,17.2
-8.6,18.9
-11,21.7
-10,21.4
-10,20.1
-10,20.4
-9.9,19.4
-10,19.3
-11,19.1
-11,19.9
-11,20.1
-11,18.6
-9.7,17.7
-9.9,19
-9.7,19.1
-9.9,19.4
-7.2,16.1
-7.4,16.5
-6.2,14.2
-7.8,18
-8.1,15.9
-10,20.2
-11,22
-12,23.4
-11,21.8
-11,23.1
-11,22.1
-11,22.9
-12,24.9
-8.9,18.8
-7.4,15.8
-7.8,16.5
-12,21.3
-12,21.6
-12,22.7
-11,21.4
-10,20.6
-9.2,19
-6.4,14.6
-6.9,14.9
-11,20.4
-11,19.6
-10,18.9
-10,18.9
-11,20.5
-11,20.3
-10,19.2
-11,19.9
-11,20.8
-11,20.4
-12,21.1
-11,20.3
-11,21
-11,20.4
-11,19
-11,18.5
-10,18
-11,18.4
-11,18.6
-10,17.9
-11,18.3
-12,19.7
-11,18.8
-11,19.3
-11,19
-11,19.2
-11,18.5
-11,17.7
