PV Starts,PV Stops,Wind Starts,Wind Stops
6/4/2019 14:00,6/11/2019 13:00,6/14/2019 22:00,6/17/2019 12:00
7/10/2019 14:00,7/12/2019 13:00,6/20/2019 13:00,6/20/2019 15:00
7/19/2019 10:00,8/21/2019 7:00,6/24/2019 9:00,6/24/2019 12:00
8/22/2019 8:00,8/30/2019 5:00,6/26/2019 10:00,6/26/2019 17:00
8/30/2019 10:00,9/4/2019 8:00,6/27/2019 8:00,6/27/2019 14:00
9/4/2019 12:00,9/10/2019 14:00,7/9/2019 17:00,7/11/2019 20:00
9/11/2019 11:00,9/15/2019 0:00,7/12/2019 14:00,7/18/2019 15:00
9/17/2019 0:00,9/23/2019 13:00,7/25/2019 10:00,7/25/2019 15:00
9/24/2019 11:00,9/25/2019 15:00,8/14/2019 15:00,8/31/2019 19:00
9/30/2019 14:00,10/7/2019 0:00,9/3/2019 6:00,9/4/2019 17:00
10/11/2019 0:00,10/21/2019 10:00,9/4/2019 20:00,9/5/2019 0:00
11/1/2019 0:00,11/11/2019 0:00,9/5/2019 2:00,9/6/2019 21:00
11/12/2019 0:00,11/16/2019 0:00,9/7/2019 1:00,9/7/2019 11:00
11/17/2019 12:00,11/20/2019 8:00,9/7/2019 14:00,9/7/2019 23:00
11/23/2019 0:00,11/26/2019 0:00,9/8/2019 0:00,9/11/2019 23:00
12/2/2019 10:00,12/11/2019 0:00,9/12/2019 7:00,9/18/2019 6:00
12/13/2019 0:00,12/28/2019 0:00,9/19/2019 0:00,9/20/2019 12:00
12/29/2019 13:00,1/1/2020 0:00,9/20/2019 23:00,9/24/2019 0:00
,,9/24/2019 1:00,9/25/2019 11:00
,,9/25/2019 14:00,9/27/2019 1:00
,,9/27/2019 3:00,9/29/2019 12:00
,,9/29/2019 21:00,9/30/2019 9:00
,,9/30/2019 11:00,10/3/2019 0:00
,,10/11/2019 9:00,10/17/2019 23:00
,,10/18/2019 0:00,10/18/2019 16:00
,,10/18/2019 19:00,10/20/2019 0:00
,,10/23/2019 12:00,10/26/2019 2:00
,,10/26/2019 5:00,10/26/2019 17:00
,,10/26/2019 18:00,10/29/2019 0:00
,,11/8/2019 20:00,11/10/2019 10:00
,,12/17/2019 12:00,12/19/2019 5:00
,,12/19/2019 9:00,12/19/2019 18:00
,,12/20/2019 3:00,12/25/2019 7:00
,,12/25/2019 16:00,12/28/2019 11:00
,,12/30/2019 12:00,12/31/2019 23:00
