Wind Speed [m/s],Power [kW],Cp [-]
0.25,-1.9210691823899366,-52.80580201592799
0.75,-3.496065664427452,-3.5592169001849037
1.25,-4.646079806346522,-1.021680937482601
1.75,-4.6089479551519625,-0.3693569896368914
2.25,-2.6223898145079154,-0.09887997752402049
2.75,3.5849889295465376,0.07403692987665123
3.25,16.6423318118702,0.20822015127522692
3.75,39.691090785210875,0.3232644112996233
4.25,74.5821702100433,0.41727934712265585
4.75,120.65449875366292,0.4835276957067356
5.25,175.5183026572721,0.5209585428854028
5.75,240.35081612145314,0.5430011270595929
6.25,313.92062985923917,0.5522534898717922
6.75,395.5629308609505,0.5524117804256705
7.25,486.3333495344009,0.548123845391526
7.75,579.4341733249269,0.5346353384539652
8.25,677.4308505184981,0.5181575004345018
8.75,775.3334071144525,0.49707623692577174
9.25,875.1730092365249,0.474927569511538
9.75,966.6189801249177,0.44791967086932283
10.25,1053.3804223448487,0.4201189876174296
10.75,1133.1483544966852,0.3917599572850596
11.25,1201.840660964022,0.36253337131230745
11.75,1263.3236257864223,0.3344719346382783
12.25,1313.1017505853997,0.30679535375044525
12.75,1356.9196270154403,0.2811785804014995
13.25,1383.8191968217097,0.2554996915237935
13.75,1422.078639957306,0.23494931474484682
14.25,1434.627746952896,0.21293806200124224
14.75,1446.2899538072197,0.1935699654466998
15.25,1462.8861424188865,0.17715754726033023
15.75,1471.7976916841553,0.16179500398062877
16.25,1475.6139529227444,0.1476968799683518
16.75,1486.1225214708763,0.13582160105370558
17.25,1489.3592656084656,0.12462088678794132
17.75,1496.5730262225898,0.11493743610294152
18.25,1494.7767100999856,0.10562005276778659
18.75,1503.3164152495406,0.09795018204010204
19.25,1503.4107874177262,0.09051991230299447
19.75,1499.0302011769033,0.08357333764200867
