Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NREL M2,0,Arvada,CO,US,39.91,-105.22,-7,1835,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,0,30,0,0,0,2.061,-11.591,162.2333333,801.9105,-13.8117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,1,30,0,0,0,1.6176,-12.4395,155.22,801.9887,-14.709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,2,30,0,0,0,1.7514,-13.8253,144.9666667,802.2607,-16.3807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,3,30,0,0,0,1.1126,-14.4048,133.71,802.765,-17.0993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,4,30,0,0,0,0.8569,-15.1918,122.22,802.5136,-18.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,5,30,0,0,0,0.7416,-16.0988,110.86,802.3963,-19.2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,6,30,0,0,0,0.9956,-15.9425,99.89666667,802.9373,-18.9968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,1,1,7,30,13.9196,13.7961,0.0543,1.4147,-16.2698,89.23666667,803.704,-19.3363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
