,HOPP Solar [kW],HOMER Solar,ARIES Solar [kW],HOPP Wind [kW],HOMER Wind [kW],ARIES Wind [kW]
2022-06-15 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-15 01:00:00,0.0,0.0,0.0,14.5600243611,0.0,0.0
2022-06-15 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-15 03:00:00,0.0,0.0,0.0,15.3491435997,0.0,41.6
2022-06-15 04:00:00,0.0,0.0,0.0,0.0,0.0,7.67
2022-06-15 05:00:00,0.0,2.167527895348837,0.0,241.8619319913,227.9188,440.0
2022-06-15 06:00:00,7.231129974073256,37.902236511627905,3.15,798.3240639618,736.3973,909.0
2022-06-15 07:00:00,27.45342395106628,92.90690116279069,51.1,82.7548945111,82.69005,242.0
2022-06-15 08:00:00,102.49207411607325,142.4550023255814,120.0,64.5406420405,64.21888,106.0
2022-06-15 09:00:00,172.834696576607,192.16163255813956,187.0,181.6120987228,172.8092,192.0
2022-06-15 10:00:00,220.07064182439535,236.93002906976744,232.0,2.0824656025,0.0,7.34
2022-06-15 11:00:00,257.60819373839183,259.8648941860465,259.0,159.9111833449,157.2938,155.0
2022-06-15 12:00:00,265.4482158398279,267.339238372093,275.0,794.5596089293,752.0477,792.0
2022-06-15 13:00:00,265.4482158398279,256.18219651162786,271.0,559.0696454689,545.4443,344.0
2022-06-15 14:00:00,265.4482158398279,171.19352093023258,255.0,538.7111933248,527.1982,409.0
2022-06-15 15:00:00,243.8005320948535,114.4412488372093,224.0,813.9836854142,773.3635,665.0
2022-06-15 16:00:00,198.6118363966965,46.621555232558144,176.0,852.647596832,807.1897,813.0
2022-06-15 17:00:00,134.7925931307907,4.845227162790697,107.0,249.8733365963,250.3458,154.0
2022-06-15 18:00:00,60.349053990453484,0.0,37.6,104.6738801501,106.7462,91.1
2022-06-15 19:00:00,6.711461668310465,0.0,2.04,95.3830882607,98.24509,127.0
2022-06-15 20:00:00,0.6846274625604652,0.0,0.0,0.0,0.0,4.04
2022-06-15 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-15 22:00:00,0.0,0.0,0.0,48.5735973918,50.78348,40.7
2022-06-15 23:00:00,0.0,0.0,0.0,5.9574598084,0.0,50.3
2022-06-16 00:00:00,0.0,0.0,0.0,0.0,0.0,25.6
2022-06-16 01:00:00,0.0,0.0,0.0,155.9922547369,151.7877,90.2
2022-06-16 02:00:00,0.0,0.0,0.0,114.7281478119,110.8732,204.0
2022-06-16 03:00:00,0.0,0.0,0.0,330.7259044335,317.8154,445.0
2022-06-16 04:00:00,0.0,0.0,0.0,172.5376755445,164.7224,241.0
2022-06-16 05:00:00,0.0,2.1118185813953487,0.0,99.1824136455,97.03388,102.0
2022-06-16 06:00:00,6.592927005677907,35.444276976744185,2.98,77.2893838322,77.85831,101.0
2022-06-16 07:00:00,26.095659228455812,87.94185581395348,44.0,99.6909130851,97.73822,155.0
2022-06-16 08:00:00,97.89669146364884,136.2521534883721,122.0,29.7766636049,0.0,0.603
2022-06-16 09:00:00,164.43797572886626,184.51336744186048,183.0,0.0,0.0,0.0
2022-06-16 10:00:00,212.37987094594766,229.36581627906978,229.0,0.0,0.0,0.0
2022-06-16 11:00:00,245.18370478869886,251.82934999999998,254.0,0.0,0.0,0.0
2022-06-16 12:00:00,259.5804017576756,255.7440604651163,264.0,0.0,0.0,0.0
2022-06-16 13:00:00,260.75603892150815,243.33134069767442,259.0,0.0,0.0,0.0
2022-06-16 14:00:00,248.10544314791977,214.10709186046515,242.0,0.0,0.0,0.0
2022-06-16 15:00:00,217.39825206320234,114.25136860465118,208.0,0.0,0.0,0.0
2022-06-16 16:00:00,176.77004203873489,46.841524069767445,160.0,4.4156018055,0.0,0.0
2022-06-16 17:00:00,113.6620653404721,4.869287406976744,97.0,48.4881238791,52.10003,71.5
2022-06-16 18:00:00,51.95473498395,0.0,34.9,119.2873206304,121.4466,161.0
2022-06-16 19:00:00,10.11482875868721,0.0,2.64,117.1626591774,119.3256,177.0
2022-06-16 20:00:00,1.026613574756977,0.0,0.0,86.3591347898,91.08306,175.0
2022-06-16 21:00:00,0.0,0.0,0.0,50.112891008,52.21852,31.2
2022-06-16 22:00:00,0.0,0.0,0.0,492.3854696137,472.1953,528.0
2022-06-16 23:00:00,0.0,0.0,0.0,398.8945858873,385.7737,396.0
2022-06-17 00:00:00,0.0,0.0,0.0,835.1836920358,778.3975,839.0
