,site_nums,lat,lon,on_land,solar_filenames,wind_filenames,year,actual solar site latitutde,actual solar site longitutde,actual wind site latitutde,actual wind site longitutde
0,1,43.094,-93.29222,true,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\solar\43.094_-93.29222_psmv3_60_2013.csv,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\wind\43.094_-93.29222_windtoolkit_2013_60min_100m.srw,2013,43.09,-93.3,43.0876998901,-93.2855834961
1,2,43.32765060706935,-93.47695293935693,true,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\solar\43.32765060706935_-93.47695293935693_psmv3_60_2013.csv,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\wind\43.32765060706935_-93.47695293935693_windtoolkit_2013_60min_120m.srw,2013,43.33,-93.46,43.3343925476,-93.4788818359
2,3,43.094,-93.66168587871385,true,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\solar\43.094_-93.66168587871385_psmv3_60_2013.csv,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\wind\43.094_-93.66168587871385_windtoolkit_2013_60min_120m.srw,2013,43.09,-93.66,43.0965003967,-93.6676635742
3,4,42.86034939293065,-93.47695293935693,true,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\solar\42.86034939293065_-93.47695293935693_psmv3_60_2013.csv,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\wind\42.86034939293065_-93.47695293935693_windtoolkit_2013_60min_120m.srw,2013,42.85,-93.46,42.8687820435,-93.4735107422
4,5,42.86034939293065,-93.10748706064307,true,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\solar\42.86034939293065_-93.10748706064307_psmv3_60_2013.csv,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\wind\42.86034939293065_-93.10748706064307_windtoolkit_2013_60min_120m.srw,2013,42.85,-93.1,42.8599853516,-93.1182861328
5,6,43.094,-92.92275412128615,true,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\solar\43.094_-92.92275412128615_psmv3_60_2013.csv,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\wind\43.094_-92.92275412128615_windtoolkit_2013_60min_120m.srw,2013,43.09,-92.94,43.0968856812,-92.9281005859
6,7,43.32765060706935,-93.10748706064307,true,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\solar\43.32765060706935_-93.10748706064307_psmv3_60_2013.csv,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\wind\43.32765060706935_-93.10748706064307_windtoolkit_2013_60min_120m.srw,2013,43.33,-93.1,43.3249397278,-93.0952758789
7,8,43.63359296355124,-93.29222,true,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\solar\43.63359296355124_-93.29222_psmv3_60_2013.csv,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\wind\43.63359296355124_-93.29222_windtoolkit_2013_60min_120m.srw,2013,43.65,-93.3,43.6278343201,-93.2859802246
8,9,43.5613012141387,-93.66168587871385,true,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\solar\43.5613012141387_-93.66168587871385_psmv3_60_2013.csv,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\wind\43.5613012141387_-93.66168587871385_windtoolkit_2013_60min_120m.srw,2013,43.57,-93.66,43.5616416931,-93.6489257812
9,10,43.36379648177562,-93.93215367359548,true,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\solar\43.36379648177562_-93.93215367359548_psmv3_60_2013.csv,C:\Users\jmartin4\Documents\VS Code\jmartin4nrel\HOPP-NREL\resource_files\wind\43.36379648177562_-93.93215367359548_windtoolkit_2013_60min_120m.srw,2013,43.37,-93.94,43.3625946045,-93.9387207031
