Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NREL M2,0,Arvada,CO,US,39.91,-105.22,-7,1835,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,GHI,DHI,DNI,Wind Speed,Temperature,Solar Zenith Angle,Pressure,Dew Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,0,30,0,0,0,0.8994,-16.5898,162.23,815.8766,-19.7693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,1,30,0,0,0,1.3547,-16.5448,155.22,815.6568,-19.6993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,2,30,0,0,0,1.2749,-16.7912,144.96,815.4177,-19.9645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,3,30,0,0,0,1.759,-17.0672,133.7,814.9128,-20.2838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,4,30,0,0,0,0.7965,-17.6008,122.21,814.2338,-20.9552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,5,30,0,0,0,0.3831,-17.974,110.85,814.2907,-21.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,6,30,0,0,0,0.4627,-17.7038,99.89,814.3314,-21.1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1,1,7,30,12.5345,11.14177778,105.8468889,0.7814,-17.6652,89.22,814.4918,-21.0802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
